Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,02.06. 16:00,POL 2,Pusz. Niepolomice,1:0,Chojnicz. Chojnice,?,Polen I Liga
002,02.06. 17:00,SER CUP,FK Indija,1:2,Roter Stern B.,?,Serbien Cup
003,02.06. 17:00,CZE 2,SK Lisen,1:1,FC Jihlava,?,Tschechien 1. Division
004,02.06. 17:00,CZE 2,FK Fotbal Trinec,0:0,1.SK Prostejov,?,Tschechien 1. Division
005,02.06. 17:00,CZE 2,AFK Chrudim,2:2,FC Hradec Kralove,?,Tschechien 1. Division
006,02.06. 17:00,CZE 2,FK Varnsdorf,0:4,FK Viktoria Zizkov,?,Tschechien 1. Division
007,02.06. 18:00,CZE 1,FK Mlada Boleslav,1:1,FC Fastav Zlin,?,Tschechien Gambrinus Liga
008,02.06. 18:00,CZE 1,FK Baumit Jablonec,0:1,FC Slovan Liberec,?,Tschechien Gambrinus Liga
009,02.06. 18:00,POL 2,OKS 1945 Olsztyn,0:0,Chrobry Glogow,?,Polen I Liga
010,02.06. 18:10,POL 2,GKS Belchatow,0:3,Sandecja,?,Polen I Liga
011,02.06. 18:30,AUT BL,SV Mattersburg,1:1,SCR Altach,?,"Österreich Bundesliga, Qualifikationsgruppe"
012,02.06. 18:30,AUT BL,SV Mattersburg,1:2,SCR Altach+1,?,"Österreich Bundesliga, Qualifikationsgruppe"
013,02.06. 18:30,AUT BL,SV Mattersburg+1,2:1,SCR Altach,?,"Österreich Bundesliga, Qualifikationsgruppe"
014,02.06. 18:30,AUT BL,WSG Swarovs. Tirol,0:5,SKN St. Pölten,?,"Österreich Bundesliga, Qualifikationsgruppe"
015,02.06. 18:30,AUT BL,WSG Swarovs. Tirol,0:6,SKN St. Pölten+1,?,"Österreich Bundesliga, Qualifikationsgruppe"
016,02.06. 18:45,ISR 1,FC Ashdod,3:2,Hapoel Raanana FC,?,Israel Winner League
017,02.06. 19:00,DEN 1,Bröndby IF,1:0,SönderjyskE,?,Dänemark Superligaen
018,02.06. 19:00,GER 3,Kickers Würzburg,0:1,FC Magdeburg,?,Deutschland 3. Liga
019,02.06. 19:00,GER 3,KFC Uerdingen 05,0:0,SV Meppen,?,Deutschland 3. Liga
020,02.06. 19:00,GER 3,FC Viktoria Köln,3:0,FSV Zwickau,?,Deutschland 3. Liga
021,02.06. 19:00,ISR 1,Maccabi Netanya,3:1,Ironi K. Shmona,?,Israel Winner League
022,02.06. 19:45,ISR 1,Hapoel Tel Aviv,3:0,Beitar Jerusalem,?,Israel Winner League
023,02.06. 20:00,CZE 1,1. FK Pribram,0:1,SK Slavia Prag,?,Tschechien Gambrinus Liga
024,02.06. 20:00,POL 2,Nieciecza KS,1:0,Wigry Suwalki,?,Polen I Liga
025,02.06. 20:30,POL 2,Miedz Legnica,1:2,FKS Stal Mielec,?,Polen I Liga
026,02.06. 20:30,AUT BL,FK Austria Wien,1:0,Admira Wacker,?,"Österreich Bundesliga, Qualifikationsgruppe"
027,02.06. 20:30,AUT BL,FK Austria Wien,1:1,Admira Wacker+1,?,"Österreich Bundesliga, Qualifikationsgruppe"
028,02.06. 20:30,GER 3,Unterhaching,1:2,FC Ingolstadt,?,Deutschland 3. Liga
029,02.06. 20:30,GER 3,Hansa Rostock,0:1,W. Mannheim,?,Deutschland 3. Liga
030,02.06. 20:00,FRO 1,IF Fuglafjordur,2:1,EB/Streymur,?,Färöer Inseln Premier League
031,02.06. 20:30,DART HO,"Clayton, Jonny",6:3,"Waites, Scott",?,"Darts, PDC Home Tour (best of 9 Legs)"
032,02.06. 21:05,DART HO,"Hopp, Max",6:3,"Wilkinson, Carl",?,"Darts, PDC Home Tour (best of 9 Legs)"
033,02.06. 21:35,DART HO,"Waites, Scott",6:0,"Wilkinson, Carl",?,"Darts, PDC Home Tour (best of 9 Legs)"
034,02.06. 21:50,DART HO,"Clayton, Jonny",6:3,"Hopp, Max",?,"Darts, PDC Home Tour (best of 9 Legs)"
035,02.06. 22:25,DART HO,"Hopp, Max",1:6,"Waites, Scott",?,"Darts, PDC Home Tour (best of 9 Legs)"
036,02.06. 23:00,DART HO,"Wilkinson, Carl",2:6,"Clayton, Jonny",?,"Darts, PDC Home Tour (best of 9 Legs)"
037,03.06. 15:00,SER CUP,Cukaricki Belgrad,3:2,FK Radnicki Nis,?,Serbien Cup
038,03.06. 17:00,CZE 2,FK Usti nad Labem,2:0,FC Graffin Vlasim,?,Tschechien 1. Division
039,03.06. 17:30,SER CUP,FK Radnik Surdulic,1:2,Partizan Belgrad,?,Serbien Cup
