Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,27.12.,13:30,KHL,Sibir Nowosibirsk,0:2,SKA St. Petersburg,Kontinental Hockey League
002,27.12.,14:00,ISR 2,I. Ramat Hasharon,4:4,H. Petach Tikva,Israel National League
003,27.12.,14:00,ISR 2,M. Ahi Nazareth,2:0,Hapoel Akko,Israel National League
004,27.12.,14:00,ISR 2,SC Kfar Qasem,0:2,Hapoel Nof HaGalil,Israel National League
005,27.12.,14:00,ISR 2,Hapoel Afula FC,2:2,Hapoel Bnei Lod,Israel National League
006,27.12.,14:00,ISR 2,Hapoel Ashkelon,0:0,Beitar Tel Aviv,Israel National League
007,27.12.,14:30,KHL,HC Barys,3:3,Dynamo Moskau,Kontinental Hockey League
008,27.12.,15:00,KHL,Traktor Chelyab.,2:5,Spartak Moskau,Kontinental Hockey League
009,27.12.,17:00,TUR 2,Adanaspor,2:0,Fatih Karagumruk,Türkei TFF 1. Lig
010,27.12.,18:00,BEL 1,Sporting Charleroi,5:0,KV Oostende,Belgien Jupiler Pro League
011,27.12.,18:00,BB EL,Zenit Petersb RUS*,58:65,Roter Stern SRB,Euroleague
012,27.12.,18:30,TUR 1,Besiktas Istanbul,4:1,Genclerbirligi,Türkei Süper Lig
013,27.12.,18:45,BB EL,Fenerbahce TUR,84:84,Valencia Bask. ESP,Euroleague
014,27.12.,19:30,EH GER,Eisbären Berlin,4:4,Bremerhaven P.,Deutschland Deutsche Eishockey Liga
015,27.12.,20:00,CAF CL,Esp. Sp. Tunis TUN,0:0,AS Vita Club COD,CAF Champions League
016,27.12.,20:30,BB EL,Bayern München GER,73:98,BC Zalgiris LTU,Euroleague
017,27.12.,20:30,BEL 1,FC Royal Antwerpen,0:0,RSC Anderlecht,Belgien Jupiler Pro League
018,27.12.,20:45,ENG PL,Wolverhampton,3:2,Manchester City,England Premier League
019,27.12.,20:45,ENG PL,Wolverhampton+1,4:2,Manchester City,England Premier League
020,27.12.,20:45,SCO CS,Dundee United,1:1,FC Dundee,Schottland Championship
021,27.12.,21:00,BB EL,FC Barcelona ESP,90:80,Olympiakos P. GRE,Euroleague
022,27.12.,22:00,NBA,Boston Celtics,129:117,Cleveland C.,USA NBA
023,28.12.,01:00,NHL,Washington Cap.,1:1,Columbus Blue J.,USA NHL
024,28.12.,01:00,NHL,Buffalo Sabres,0:3,Boston Bruins,USA NHL
025,28.12.,01:00,NHL,New York Rangers,5:3,Carolina Hurric.,USA NHL
