Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,25.02.,17:00,TUR 2,Fatih Karagumruk,2:0,Eskisehirspor,Türkei TFF 1. Lig
002,25.02.,17:00,KHL,AK Bars Kasan,3:2,Salavat Yulaev Ufa,Kontinental Hockey League
003,25.02.,17:00,KHL,Torp. Nowgorod,3:1,Jokerit Helsinki,Kontinental Hockey League
004,25.02.,17:00,KHL,Sev. Cherepovets,3:2,HC Sochi,Kontinental Hockey League
005,25.02.,17:10,KHL,HK Dinamo Minsk,3:5,Lok. Jaroslawl,Kontinental Hockey League
006,25.02.,17:30,KHL,Dynamo Moskau,2:2,Traktor Chelyab.,Kontinental Hockey League
007,25.02.,17:30,KHL,HC Vityaz Podolsk,2:4,Spartak Moskau,Kontinental Hockey League
008,25.02.,17:30,KHL,HK CSKA Moskau,1:4,SKA St. Petersburg,Kontinental Hockey League
009,25.02.,17:30,KHL,Avangard Omsk,2:4,Avtomobilist,Kontinental Hockey League
010,25.02.,17:30,EH FIN,Tappara Tampere,2:2,HIFK Helsinki,Finnland SM-Liiga
011,25.02.,19:00,EH SWE,Djurgardens IF,3:2,Brynas IF,Schweden Elitserien
012,25.02.,19:00,EH SWE,Rögle BK,3:0,HC Örebro,Schweden Elitserien
013,25.02.,19:00,EH SWE,Malmö IF,3:3,Linköpings HC,Schweden Elitserien
014,25.02.,19:00,EH SWE,Växjö Lakers,1:3,Lulea Hockey,Schweden Elitserien
015,25.02.,19:30,EH SWE,Frölunda HC,2:5,Leksands IF,Schweden Elitserien
016,25.02.,19:00,EH SWE,Skelleftea AIK,2:1,HV 71,Schweden Elitserien
017,25.02.,19:00,EH SWE,IK Oskarshamn,3:3,Färjestads BK,Schweden Elitserien
018,25.02.,19:00,HB AUTC,UHK Krems,27:28,Fivers Margareten,Handball Cup Österreich
019,25.02.,19:30,EH GER,Kölner Haie,5:0,EHC Wolfsburg,Deutschland Deutsche Eishockey Liga
020,25.02.,19:45,EH SUI,HC Davos,4:2,SC Bern,Schweiz National League A
021,25.02.,19:45,EH SUI,HC Lausanne,3:1,SCL Tigers Langnau,Schweiz National League A
022,25.02.,19:45,EH SUI,Fribourg Gotteron,1:1,EV Zug,Schweiz National League A
023,25.02.,20:45,ENG CS,Huddersfield Town,2:1,Bristol City,England Championship
024,25.02.,20:45,ENG CS,Queens Park R.,2:1,Derby County,England Championship
025,25.02.,20:45,ENG CS,Cardiff City,0:1,Nottingham Forest,England Championship
026,25.02.,20:45,ENG CS,Luton Town,2:1,FC Brentford,England Championship
027,25.02.,20:45,ENG 1,FC Blackpool,2:1,Bolton Wanderers,England League One
028,25.02.,20:45,ENG 1,FC Portsmouth,3:1,MK Dons,England League One
029,25.02.,20:45,ENG 1,Shrewsbury Town,2:3,Tranmere Rovers,England League One
030,25.02.,20:45,ENG 1,AFC Sunderland,1:1,Fleetwood Town,England League One
031,25.02.,20:45,ENG 1,Oxford United,3:0,Accrington Stanley,England League One
032,25.02.,20:45,ENG 1,Coventry City,1:1,Rotherham United,England League One
033,25.02.,20:45,SCO PS,FC Motherwell,1:2,FC St. Mirren,Schottland Premiership
034,25.02.,20:45,SCO CS,Dunfermline,1:2,Inverness CT,Schottland Championship
035,25.02.,21:00,ENG CS,West Bromwich,2:0,Preston North End,England Championship
036,25.02.,21:00,CL,FC Chelsea ENG,0:3,Bayern München GER,UEFA Champions League
037,25.02.,21:00,CL,FC Chelsea+1,1:3,FC Bayern München,UEFA Champions League
038,25.02.,21:00,CL,SSC Napoli ITA,1:1,FC Barcelona ESP,UEFA Champions League
039,25.02.,21:00,CL,SSC Napoli+1,2:1,FC Barcelona,UEFA Champions League
040,26.02.,11:00,JPN LC,Nagoya Grampus,abgesagt,Shimizu S-Pulse,Japan Nabisco Cup
041,26.02.,11:00,JPN LC,Sanfr. Hiroshima,abgesagt,Hokkaido Consadole,Japan Nabisco Cup
042,26.02.,11:00,JPN LC,Vegalta Sendai,abgesagt,Cerezo Osaka,Japan Nabisco Cup
043,26.02.,11:00,JPN LC,Shonan Bellmare,abgesagt,Kashiwa Reysol,Japan Nabisco Cup
044,26.02.,11:00,JPN LC,Oita Trinita,abgesagt,Gamba Osaka,Japan Nabisco Cup
045,26.02.,11:30,JPN LC,Urawa RD,abgesagt,Matsumoto Yamaga,Japan Nabisco Cup
046,26.02.,13:00,SERB 1,Spartak Subotica,3:1,FK Mladost Lucani,Serbien Meridijan Superliga
047,26.02.,14:00,SERB 1,FK Indija,1:1,Roter Stern B.,Serbien Meridijan Superliga
048,26.02.,14:30,TUR 2,Akhisarspor,2:0,Giresunspor,Türkei TFF 1. Lig
049,26.02.,14:30,TUR 2,Altinordu,2:1,Erzurum BB,Türkei TFF 1. Lig
050,26.02.,14:30,SLO 1,NK Tabor Sezana,2:1,NK Domzale,Slowenien PrvaLiga Telekom
051,26.02.,17:00,SLO 1,NS Mura,1:2,NK Maribor,Slowenien PrvaLiga Telekom
052,26.02.,17:00,TUR 2,Adanaspor,0:1,Umraniyespor,Türkei TFF 1. Lig
053,26.02.,17:30,EH FIN,Kärpät Oulu,4:1,HPK Hämeenlinna,Finnland SM-Liiga
054,26.02.,17:30,EH FIN,JYP Jyväskylä,2:6,Ässät Pori,Finnland SM-Liiga
055,26.02.,17:30,EH FIN,Vaasan Sport,3:0,Jukurit Mikkeli,Finnland SM-Liiga
056,26.02.,17:30,EH FIN,HC TPS Turku,4:2,KalPa Kuopio,Finnland SM-Liiga
057,26.02.,17:30,EH FIN,Lukko Rauma,2:0,Ilves Tampere,Finnland SM-Liiga
058,26.02.,18:00,SERB 1,Cukaricki Belgrad,2:1,FK Vozdovac,Serbien Meridijan Superliga
059,26.02.,18:00,SERB 1,FK Vojvodina,3:0,FK Radnicki Nis,Serbien Meridijan Superliga
060,26.02.,18:00,SERB 1,FK Napredak,0:1,FK Radnik Surdulic,Serbien Meridijan Superliga
061,26.02.,18:00,SLO 1,NK Celje,2:2,ASK Bravo,Slowenien PrvaLiga Telekom
062,26.02.,18:00,EL,Sporting Braga POR,0:1,Gl.Rangers SCO,UEFA Europa League
063,26.02.,19:00,HB AUTC,Handball Tirol,21:28,Alpla HC Hard,Handball Cup Österreich
064,26.02.,19:00,HB AUTC,HSG Graz,27:27,SG Westwien,Handball Cup Österreich
065,26.02.,20:45,ENG CS,FC Fulham,1:0,Swansea City,England Championship
066,26.02.,20:45,ENG CS,Sheffield Wednes.,1:0,Charlton Athletic,England Championship
067,26.02.,20:45,ENG CS,Blackburn Rovers,0:0,Stoke City,England Championship
068,26.02.,20:45,ENG CS,FC Millwall,0:0,Birmingham City,England Championship
069,26.02.,20:45,ENG CS,Hull City,0:1,FC Barnsley,England Championship
070,26.02.,20:45,ENG CS,FC Middlesbrough,0:1,Leeds United,England Championship
