Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,27.03.,12:00,CAND,"Alekseenko, Kirill",abgesagt,"Caruana, Fabiano",Candidates 2020
002,27.03.,12:00,CAND,"Grischuk, Alex.",abgesagt,"Nepomniachtchi, I.",Candidates 2020
003,27.03.,12:00,CAND,"Giri, Anish",abgesagt,"Wang, Hao",Candidates 2020
004,27.03.,12:00,CAND,"Ding, Liren",abgesagt,"Vachier-Lagrave, M",Candidates 2020
005,27.03.,12:30,BUR 1,Rukinzo FC,abgesagt,Musongati FC,Burundi 1.Liga
006,27.03.,15:00,BUR 1,AS Inter Star,abgesagt,Ngozi City,Burundi 1.Liga
007,27.03.,16:00,BLR 1,FC Torpedo Zhodino,1:0,Belshina Bobruisk,Weißrussland Premier League
008,27.03.,16:00,BLR 1,FC Torpedo Zhodino,1:1,Bel. Bobruisk+1,Weißrussland Premier League
009,27.03.,18:00,BLR 1,FC Rukh Brest,0:1,Energet. BGU Minsk,Weißrussland Premier League
010,27.03.,18:00,BLR 1,FC Rukh Brest+1,1:1,Energet. BGU Minsk,Weißrussland Premier League
011,27.03.,18:00,EH BLR,Yunost Minsk,5:1,Shakhter Soligorsk,Weißrussland Extraliga
012,27.03.,18:30,FS,Lunds BK SWE,3:1,IFK Malmö SWE,Freundschaftsspiele International (Klub)
013,28.03.,11:00,BLR 1,FC Slutsk,0:1,Dinamo Brest,Weißrussland Premier League
014,28.03.,11:00,BLR 1,FC Slutsk+1,1:1,Dinamo Brest,Weißrussland Premier League
015,28.03.,11:30,HB BLR,Bgufk SKA Minsk,29:32,Masheka Mogilev,Weißrussland Division 1
016,28.03.,12:00,FS,Eskilsminne IF SWE,0:0,Ängelholms FF SWE,Freundschaftsspiele International (Klub)
017,28.03.,12:30,BUR 1,Vitalo FC,abgesagt,Le Messager Ngozi,Burundi 1.Liga
018,28.03.,13:00,BLR 1,Slavia Mozyr,2:1,FC BATE Borisov,Weißrussland Premier League
019,28.03.,13:00,BLR 1,Slavia Mozyr+1,3:1,FC BATE Borisov,Weißrussland Premier League
020,28.03.,13:00,HB BLR,SKA Minsk,32:40,HC Meshkov Brest,Weißrussland Division 1
021,28.03.,13:00,CFS DA,Hammarby Damen SWE,2:1,Brommapojkarna SWE,"Klub-Freundschaftsspiele, Damen"
022,28.03.,13:00,FS,BK Häcken SWE,5:2,Utsiktens BK SWE,Freundschaftsspiele International (Klub)
023,28.03.,13:30,FS,IK Frej SWE,1:2,Sollentuna FF SWE,Freundschaftsspiele International (Klub)
024,28.03.,14:00,BUR 1,Kayanza United,abgesagt,Flambeau du Centre,Burundi 1.Liga
025,28.03.,15:00,BUR 1,Les Lierres,abgesagt,Athletico Olympic,Burundi 1.Liga
026,28.03.,15:00,BLR 1,FC Minsk,3:2,FC Dinamo Minsk,Weißrussland Premier League
027,28.03.,15:00,BLR 1,FC Minsk+1,4:2,FC Dinamo Minsk,Weißrussland Premier League
028,28.03.,17:00,BLR 1,FC Gorodeya,0:2,Shakhter Soligorsk,Weißrussland Premier League
029,28.03.,17:00,BLR 1,FC Gorodeya+1,1:2,Shakhter Soligorsk,Weißrussland Premier League
030,28.03.,17:00,EH BLR,Yunost Minsk,2:3,Shakhter Soligorsk,Weißrussland Extraliga
031,28.03.,17:00,HB BLR,HC Gomel,28:27,Kronon Grodno,Weißrussland Division 1
032,28.03.,23:00,NIC 1,Real Madriz,2:0,CD Ocotal,Nicaragua Primera Division
033,29.03.,01:00,NIC 1,Managua FC,2:1,Diriangen FC,Nicaragua Primera Division
034,29.03.,03:00,NIC 1,Real Esteli FC,1:0,Las Sabanas CF,Nicaragua Primera Division
035,29.03.,12:00,CAND,"Caruana, Fabiano",abgesagt,"Ding, Liren",Candidates 2020
036,29.03.,12:00,CAND,"Vachier-Lagrave, M",abgesagt,"Giri, Anish",Candidates 2020
037,29.03.,12:00,CAND,"Wang, Hao",abgesagt,"Grischuk, Alex.",Candidates 2020
038,29.03.,12:00,CAND,"Nepomniachtchi, I.",abgesagt,"Alekseenko, Kirill",Candidates 2020
039,29.03.,12:30,BUR 1,Bujumbura City,abgesagt,Bumamuru FC,Burundi 1.Liga
042,29.03.,13:00,FS,Landskrona Boi SWE,abgesagt,KSF Prespa B. SWE,Freundschaftsspiele International (Klub)
043,29.03.,14:00,FS,IK Brage SWE,abgesagt,Brommapojk. SWE,Freundschaftsspiele International (Klub)
044,29.03.,14:30,FS,IF Sylvia SWE,abgesagt,Assyriska Tura SWE,Freundschaftsspiele International (Klub)
040,29.03.,15:00,BLR 1,FC Smolevichi*,0:1,Isloch,Weißrussland Premier League
041,29.03.,15:00,BLR 1,FC Smolevichi+1,1:1,Isloch,Weißrussland Premier League
045,29.03.,15:00,FS,Hammarby IF SWE,abgesagt,Odds BK NOR,Freundschaftsspiele International (Klub)
046,29.03.,15:00,BUR 1,Sport Dynamic,abgesagt,Aigle Noir CS,Burundi 1.Liga
047,29.03.,15:00,BUR 1,Olympic Star,abgesagt,LLB Academic,Burundi 1.Liga
048,29.03.,17:00,BLR 1,Neman Grodno,2:0,FC Vitebsk,Weißrussland Premier League
049,29.03.,17:00,BLR 1,Neman Grodno,2:1,FC Vitebsk+1,Weißrussland Premier League
050,30.03.,00:00,NIC 1,Municipal Jalapa,2:0,Juventus Managua,Nicaragua Primera Division
051,30.03.,01:00,NIC 1,CD Walter Ferretti,7:0,Chinandega FC,Nicaragua Primera Division
052,30.03.,12:00,CAND,"Nepomniachtchi, I.",abgesagt,"Caruana, Fabiano",Candidates 2020
053,30.03.,12:00,CAND,"Alekseenko, Kirill",abgesagt,"Wang, Hao",Candidates 2020
054,30.03.,12:00,CAND,"Grischuk, Alex.",abgesagt,"Vachier-Lagrave, M",Candidates 2020
055,30.03.,12:00,CAND,"Giri, Anish",abgesagt,"Ding, Liren",Candidates 2020
