Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,22.05.,12:30,KOR 1,Pohang Steelers FC,1:2,FC Seoul,Südkorea K-League 1
002,22.05.,13:00,BLR RES,FC Isloch Reserve,2:1,Energetik Minsk Re,Weißrussland Reserve Liga
004,22.05.,13:00,BLR RES,FC Vitebsk Reserve,1:7,Din Minsk Reserve,Weißrussland Reserve Liga
003,22.05.,15:00,BLR RES,FC Slutsk Reserve,3:2,Rukh Brest Reserve,Weißrussland Reserve Liga
005,22.05.,17:00,BLR 1,Slavia Mozyr,1:1,FC Gorodeya,Weißrussland Premier League
006,22.05.,17:00,FS,RB Salzburg AUT,1:1,WSG Sw.Tirol AUT,Freundschaftsspiele International (Klub)
007,22.05.,18:30,GER 2,1. FC Nürnberg,1:1,Erzgebirge Aue,Deutschland 2. Bundesliga
008,22.05.,18:30,GER 2,1. FC Nürnberg,1:2,Erzgebirge Aue+1,Deutschland 2. Bundesliga
009,22.05.,18:30,GER 2,FC Heidenheim,1:0,Wehen Wiesbaden,Deutschland 2. Bundesliga
010,22.05.,18:30,GER 2,FC Heidenheim,1:1,Wehen+1,Deutschland 2. Bundesliga
011,22.05.,19:00,BLR 1,Shakhter Soligorsk,4:0,Belshina Bobruisk,Weißrussland Premier League
012,22.05.,19:00,FS,Dinamo Zagreb CRO,2:1,NK Osijek CRO,Freundschaftsspiele International (Klub)
013,22.05.,20:00,FRO 1,Vikingur Gota,1:0,NSI Runavik,Färöer Inseln Premier League
014,22.05.,20:30,GER BL,Hertha BSC,4:0,FC Union Berlin,Deutschland Bundesliga
015,22.05.,20:30,GER BL,Hertha BSC,4:1,FC Union Berlin+1,Deutschland Bundesliga
016,23.05.,09:30,KOR 1,Suwon Blue Wings,1:0,Incheon United FC,Südkorea K-League 1
017,23.05.,09:30,KOR 1,Gangwon FC,1:1,Seongnam Ilhwa,Südkorea K-League 1
018,23.05.,12:00,KOR 1,Sangju Sangmu Pho.,1:0,Gwangju FC,Südkorea K-League 1
019,23.05.,12:00,EST 1,Paide Linnameesk.,2:0,FC Kuressaare,Estland Meistriliiga
020,23.05.,13:00,GER 2,SV Darmstadt 98,4:0,FC St. Pauli,Deutschland 2. Bundesliga
021,23.05.,13:00,GER 2,SV Darmstadt 98,4:1,FC St. Pauli+1,Deutschland 2. Bundesliga
022,23.05.,13:00,GER 2,SV Sandhausen,0:0,Jahn Regensburg,Deutschland 2. Bundesliga
023,23.05.,13:00,GER 2,SV Sandhausen,0:1,Jahn Regensburg+1,Deutschland 2. Bundesliga
024,23.05.,13:00,GER 2,VfL Osnabrück,2:4,Hannover 96,Deutschland 2. Bundesliga
025,23.05.,13:00,GER 2,VfL Osnabrück+1,3:4,Hannover 96,Deutschland 2. Bundesliga
026,23.05.,15:00,FRO 1,B36 Torshavn,6:2,Skala IF,Färöer Inseln Premier League
027,23.05.,15:00,EST 1,JK Nomme Kalju,1:2,Tallinna JK Legion,Estland Meistriliiga
028,23.05.,15:30,GER BL,SC Freiburg,0:1,Werder Bremen,Deutschland Bundesliga
029,23.05.,15:30,GER BL,SC Freiburg,0:2,W. Bremen+1,Deutschland Bundesliga
030,23.05.,15:30,GER BL,SC Paderborn,1:1,TSG Hoffenheim,Deutschland Bundesliga
031,23.05.,15:30,GER BL,SC Paderborn+1,2:1,TSG Hoffenheim,Deutschland Bundesliga
