Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,16.06.,18:00,SVK CUP,Slovan Bratislava,4:1,Zlate Moravce,Slowakei Cup
002,16.06.,18:00,DEN 1,AC Horsens,2:2,Esbjerg FB,Dänemark Superligaen
003,16.06.,18:00,NOR 1,Aalesunds FK,1:4,Molde FK,Norwegen Tippeligaen
004,16.06.,18:00,NOR 1,Viking FK,2:4,Bodö Glimt,Norwegen Tippeligaen
005,16.06.,18:00,NOR 1,Odds BK,1:2,Sandefjord Fotball,Norwegen Tippeligaen
006,16.06.,18:00,NOR 1,Rosenborg BK,0:0,Kristiansund BK,Norwegen Tippeligaen
007,16.06.,18:00,NOR 1,Stabaek IF,0:0,Mjöndalen,Norwegen Tippeligaen
008,16.06.,18:30,AUT BL,SKN St. Pölten,1:0,SV Mattersburg,"Österreich Bundesliga, Qualifikationsgruppe"
009,16.06.,18:30,AUT BL,Admira Wacker,1:1,SCR Altach,"Österreich Bundesliga, Qualifikationsgruppe"
010,16.06.,18:30,GER BL,Mönchengladbach,3:0,VfL Wolfsburg,Deutschland Bundesliga
011,16.06.,18:30,GER 2,Hamburger SV,1:1,VfL Osnabrück,Deutschland 2. Bundesliga
012,16.06.,18:30,GER 2,Wehen Wiesbaden,0:6,1. FC Nürnberg,Deutschland 2. Bundesliga
013,16.06.,18:30,GER 2,Greuther Fürth,0:0,FC Heidenheim,Deutschland 2. Bundesliga
014,16.06.,19:00,GER 3,Kickers Würzburg,2:0,FC Kaiserslautern,Deutschland 3. Liga
015,16.06.,19:00,GER 3,FC Ingolstadt,0:0,E. Braunschweig,Deutschland 3. Liga
016,16.06.,19:00,GER 3,Chemnitzer FC,1:0,Preussen Münster,Deutschland 3. Liga
017,16.06.,19:00,CRO 1,HNK Hajduk Split,2:3,NK Varazdin SN,Kroatien 1. HNL
018,16.06.,19:30,ESP 1,Villarreal CF,1:0,RCD Mallorca,Spanien Primera Division
019,16.06.,19:30,ESP 1,Getafe CF,0:0,Espanyol Barcelona,Spanien Primera Division
020,16.06.,19:30,ESP 2,CD Lugo,1:3,Real Saragossa,Spanien Segunda Division
021,16.06.,19:45,TUR CUP,Fenerbahce,1:3,Trabzonspor,Türkei Türkiye Kupasi
022,16.06.,20:00,POR 1,CD Santa Clara,1:1,Portimonense SC,Portugal Primeira Liga
023,16.06.,20:00,DEN 1,Randers FC,4:0,Hobro IK,Dänemark Superligaen
024,16.06.,20:30,AUT BL,FK Austria Wien,1:0,WSG Swarovs. Tirol,"Österreich Bundesliga, Qualifikationsgruppe"
025,16.06.,20:30,AUT BL,FK Austria Wien,1:1,WSG Swar. Tirol+1,"Österreich Bundesliga, Qualifikationsgruppe"
