Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,04.08.,18:00,NHL,NY Islanders*,4:2,Florida Panthers,USA NHL
002,04.08.,18:00,FS,FC Lorient FRA,1:1,Stade Rennes FRA,Freundschaftsspiele International (Klub)
003,04.08.,18:45,IRL 1,FC Finn Harps,0:1,Shelbourne Dublin,Irland Premier Division
004,04.08.,19:00,NOR 2,Lilleström SK,0:2,Sogndal IL,Norwegen Adeccoligaen
005,04.08.,19:00,SWE CUP,Stenungsunds IF,1:0,FC Trollhättan,Schweden Cup
006,04.08.,19:00,SWE CUP,Kristianstad FC,2:2,Torns IF,Schweden Cup
007,04.08.,19:00,SWE CUP,FC Rosengaard,1:1,Landskrona Bois,Schweden Cup
008,04.08.,19:30,NBA,Milwaukee Bucks*,116:119,Brooklyn Nets,USA NBA
009,04.08.,20:30,NHL,Nashville Pred.*,4:2,Arizona Coyotes,USA NHL
010,04.08.,20:30,NBA,Sacramento Kings*,95:95,Dallas Mavericks,USA NBA
011,04.08.,20:45,ENG CS,FC Brentford*,0:0,FC Fulham,England Championship
012,04.08.,20:45,ENG CS,FC Brentford,0:1,FC Fulham+1,England Championship
013,04.08.,20:45,ENG CS,FC Brentford,0:2,FC Fulham+2,England Championship
014,04.08.,20:45,IRL 1,FC Sligo Rovers,abgesagt,Waterford United,Irland Premier Division
015,04.08.,21:00,ITA B,AC Chievo Verona,0:0,FC Empoli,Italien Serie B
016,04.08.,21:00,ITA B,AC Chievo Verona,0:1,FC Empoli+1,Italien Serie B
017,04.08.,22:00,NHL,Toronto Maple L.*,3:0,Columbus Blue J.,USA NHL
018,04.08.,22:00,NBA,LA Clippers*,115:117,Phoenix Suns,USA NBA
019,05.08.,00:00,NBA,Indiana Pacers*,120:109,Orlando Magic,USA NBA
020,05.08.,00:30,NBA,Miami Heat*,112:106,Boston Celtics,USA NBA
021,05.08.,00:45,NHL,Winnipeg Jets*,2:6,Calgary Flames,USA NHL
022,05.08.,02:00,NHL,New York Rangers*,1:4,Carolina Hurric.,USA NHL
023,05.08.,04:45,NHL,Vancouver Can.*,4:3,Minnesota Wild,USA NHL
024,05.08.,10:00,AUS 1,Wellington Ph.*,1:1,Brisbane Roar,Australien Hyundai A-League
025,05.08.,12:00,JPN LC,Kashima Antlers,2:3,Kawasaki Frontale,Japan Nabisco Cup
026,05.08.,12:00,JPN LC,Shimizu S-Pulse,0:3,Nagoya Grampus,Japan Nabisco Cup
027,05.08.,12:00,JPN LC,Cerezo Osaka,1:0,Urawa RD,Japan Nabisco Cup
028,05.08.,12:00,JPN LC,Sagan Tosu,0:1,Yokohama FC,Japan Nabisco Cup
029,05.08.,12:00,JPN LC,Hokkaido Consadole,2:1,Sanfr. Hiroshima,Japan Nabisco Cup
030,05.08.,12:00,JPN LC,Kashiwa Reysol,1:0,Shonan Bellmare,Japan Nabisco Cup
031,05.08.,12:00,JPN LC,Oita Trinita,1:1,Gamba Osaka,Japan Nabisco Cup
032,05.08.,12:00,CHN SL,Shandong Luneng*,0:1,Shenhua Shanghai,China Chinese Super League
033,05.08.,14:00,CHN SL,FC Henan Jianye*,1:1,Guangzhou R&F FC,China Chinese Super League
034,05.08.,17:00,SERB 1,FK Novi Pazar,3:2,Partizan Belgrad,Serbien Meridijan Superliga
035,05.08.,17:00,SERB 1,FK Indija,0:1,FK Vozdovac,Serbien Meridijan Superliga
036,05.08.,17:30,FIN 1,Haka Valkeakoski,0:2,HIFK Helsinki,Finnland Veikkausliiga
037,05.08.,17:30,FIN 1,Seinajoen JK,1:1,Kuopio PS,Finnland Veikkausliiga
038,05.08.,17:30,FIN 1,IFK Mariehamn,2:0,FC Inter Turku,Finnland Veikkausliiga
039,05.08.,17:30,FIN 1,Tampereen Ilves,1:0,Rovaniemi PS,Finnland Veikkausliiga
040,05.08.,17:30,FIN 2,KPV Kokkola,4:0,SJK Akatemia,Finnland Ykkonen
041,05.08.,17:30,FIN 2,FC KTP,3:2,Mypa Myllykoski,Finnland Ykkonen
042,05.08.,17:30,FIN 2,FF Jaro,6:1,Vaasa PS,Finnland Ykkonen
043,05.08.,17:30,FIN 2,AC Kajaani,1:1,AC Oulu,Finnland Ykkonen
044,05.08.,17:30,HUN 2,FC Dorogi,1:0,Soroksar SC,Ungarn NB II
045,05.08.,17:30,HUN 2,Budaörsi SC,3:2,BFC Siofok,Ungarn NB II
046,05.08.,18:00,SUI CUP,FC Winterthur,4:0,FC Bavois,Schweiz Cup
047,05.08.,18:00,NHL,Florida Panthers*,3:2,NY Islanders,USA NHL
048,05.08.,18:55,EL,Shakhtar Don. UKR*,3:0,VfL Wolfsburg GER,UEFA Europa League
049,05.08.,18:55,EL,Shakhtar Donetsk,3:1,VfL Wolfsburg+1,UEFA Europa League
050,05.08.,18:55,EL,Shakhtar Donetsk+1,4:0,VfL Wolfsburg,UEFA Europa League
051,05.08.,18:55,EL,FC Kopenhagen DEN,3:0,Ist.Basaks TUR,UEFA Europa League
052,05.08.,18:55,EL,FC Kopenhagen,3:1,Istanb.Basakse+1,UEFA Europa League
053,05.08.,18:55,EL,FC Kopenhagen+1,4:0,Istanbul Basakseh.,UEFA Europa League
054,05.08.,19:00,NOR 1,Molde FK,5:0,IK Start,Norwegen Tippeligaen
055,05.08.,19:00,SWE 1,Malmö FF,4:1,Helsingborgs IF,Schweden Allsvenskan
056,05.08.,19:00,SWE 1,Hammarby IF,1:1,Falkenbergs FF,Schweden Allsvenskan
057,05.08.,19:00,SWE 1,Varbergs BoIS,1:2,Djurgardens IF,Schweden Allsvenskan
058,05.08.,19:00,SERB 1,FK Metalac GM,2:1,Macva Sabac,Serbien Meridijan Superliga
059,05.08.,19:00,SERB 1,FK Zlatibor,0:2,FK Proleter,Serbien Meridijan Superliga
060,05.08.,19:00,SERB 1,Roter Stern B.,3:0,FK Radnicki Nis,Serbien Meridijan Superliga
061,05.08.,19:00,SERB 1,FK Javor Ivanjica,3:0,FK Napredak,Serbien Meridijan Superliga
062,05.08.,19:00,SERB 1,FK Backa Palanka,1:3,Spartak Subotica,Serbien Meridijan Superliga
063,05.08.,19:00,SERB 1,FK Radnik Surdulic,2:3,FK Mladost Lucani,Serbien Meridijan Superliga
064,05.08.,19:00,SERB 1,FK Rad Belgrad,1:3,FK Backa Topola,Serbien Meridijan Superliga
065,05.08.,19:00,HUN 2,ETO FC Győr,1:1,Kaposvari Rakoczi,Ungarn NB II
066,05.08.,19:00,HUN 2,Aqvital FC Csákvár,1:1,Szeged-Csanad Gros,Ungarn NB II
067,05.08.,19:00,HUN 2,Nyiregyhaza FC,2:0,Pecsi MFC,Ungarn NB II
068,05.08.,19:00,HUN 2,Kazincbarcikai SC,abgesagt,FC Ajka,Ungarn NB II
069,05.08.,19:00,HUN 2,Haladas Szombat.,1:1,Szolnoki Mav FC,Ungarn NB II
070,05.08.,20:00,CRO 1,NK Istra 1961,0:1,HNK Orijent 1919,Kroatien 1. HNL
071,05.08.,20:30,NHL,Arizona Coyotes*,4:1,Nashville Pred.,USA NHL
072,05.08.,20:30,FS,Ol. Marseille FRA,abgesagt,Montpellier FRA,Freundschaftsspiele International (Klub)
073,05.08.,21:00,EL,Manchester U. ENG,2:1,LASK Linz AUT,UEFA Europa League
074,05.08.,21:00,EL,Manchester United,2:2,LASK Linz+1,UEFA Europa League
075,05.08.,21:00,EL,Manchester United,2:3,LASK Linz+2,UEFA Europa League
076,05.08.,21:00,EL,Inter Mailand ITA*,2:0,Getafe CF ESP,UEFA Europa League
077,05.08.,21:00,EL,Inter Mailand,2:1,Getafe CF+1,UEFA Europa League
078,05.08.,21:00,ITA B,AS Cittadella,2:2,Frosinone Calcio,Italien Serie B
079,05.08.,21:00,SERB 1,FK Vojvodina,2:2,Cukaricki Belgrad,Serbien Meridijan Superliga
080,05.08.,22:00,NHL,Boston Bruins*,2:3,Tampa Bay Lightn.,USA NHL
081,06.08.,00:30,NHL,Dallas Stars*,0:4,Colorado Avalan.,USA NHL
082,06.08.,02:00,MLSBACK,Philadelphia Unio*,1:2,Portland Timbers,"USA, MLS is Back Tournament"
083,06.08.,02:00,NHL,Montreal Canad.*,4:3,Pittsburgh Peng.,USA NHL
084,06.08.,04:30,NHL,Chicago Blackh.*,4:3,Edmonton Oilers,USA NHL
085,06.08.,11:30,AUS 1,Adelaide United F*,1:1,Sydney FC,Australien Hyundai A-League
086,06.08.,12:00,CHN SL,FC Tianjin Taida*,1:3,Beijing Guoan FC,China Chinese Super League
087,06.08.,14:00,CHN SL,Qingdao Huanghai*,1:1,SIPG Shanghai,China Chinese Super League
088,06.08.,17:00,BLR 1,Belshina Bobruisk,4:2,FC Slutsk,Weißrussland Premier League
089,06.08.,17:30,FIN 1,HJK Helsinki,1:1,FC Lahti,Finnland Veikkausliiga
090,06.08.,17:30,FIN 1,Turun Palloseura,0:2,FC Honka,Finnland Veikkausliiga
091,06.08.,17:30,FIN 2,IF Gnistan,0:1,Mikkelin Pall.,Finnland Ykkonen
092,06.08.,17:30,FIN 2,Musa Pori,1:0,Ekenäs IF,Finnland Ykkonen
