Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,14.08.,17:00,RUS PL,Arsenal Tula,2:3,FC Ufa,Russland Premier League
002,14.08.,17:30,FIN 1,FC Lahti,3:0,Rovaniemi PS,Finnland Veikkausliiga
003,14.08.,17:30,FIN 1,Haka Valkeakoski,2:4,Kuopio PS,Finnland Veikkausliiga
004,14.08.,17:30,FIN 1,FC Inter Turku,3:2,HIFK Helsinki,Finnland Veikkausliiga
005,14.08.,18:00,RUS PL,FK Sochi,1:1,FK Khimki,Russland Premier League
006,14.08.,18:00,NOR 2,Kongsvinger IL,2:1,Strömmen IF,Norwegen Adeccoligaen
007,14.08.,18:00,NOR 2,Aasane Fotball,2:2,Ham-Kam,Norwegen Adeccoligaen
008,14.08.,18:00,NOR 2,Grorud IL,2:0,Tromsö IL,Norwegen Adeccoligaen
009,14.08.,18:00,NOR 2,Stjordals-Blink,2:2,Sogndal IL,Norwegen Adeccoligaen
010,14.08.,18:00,NOR 2,Raufoss IL,1:1,FK Jerv,Norwegen Adeccoligaen
011,14.08.,18:00,NOR 2,Ranheim IL,6:1,Oeygarden FK,Norwegen Adeccoligaen
012,14.08.,18:00,NOR 2,Sandnes ULF,3:1,Kfum Oslo,Norwegen Adeccoligaen
013,14.08.,18:15,HUN 1,MTK Budapest FC,1:1,Ferencvaros,Ungarn NB I
014,14.08.,18:45,IRL 1,FC Dundalk,2:2,Waterford United,Irland Premier Division
015,14.08.,19:00,AUT RLM,SV Spittal/Drau,0:2,Union Vöcklamarkt,Österreich Regionalliga Mitte
016,14.08.,19:00,AUT RLM,Bad Gleichenberg,2:2,WAC Amateure,Österreich Regionalliga Mitte
017,14.08.,19:00,AUT RLM,FC Gleisdorf,3:5,St Anna am Aigen,Österreich Regionalliga Mitte
018,14.08.,19:00,AUT RLM,FC Wels,0:2,SV Allerheiligen,Österreich Regionalliga Mitte
019,14.08.,19:00,AUT RLM,Sturm Graz Amat.,2:1,Deutschlandsberg,Österreich Regionalliga Mitte
020,14.08.,19:00,RUS PL,FC Spartak Moskau,2:0,FK Achmat Grozny,Russland Premier League
021,14.08.,19:00,BEL 1,RE Mouscron,0:1,YR KV Mechelen,Belgien Jupiler Pro League
022,14.08.,19:00,BUL 1,Ludogorets,3:0,PFC Slavia Sofia,Bulgarien Premier League
023,14.08.,20:30,POL CUP,GKS Belchatow,1:6,Legia Warschau,Polen Cup
024,14.08.,20:30,NOR 2,Lilleström SK,2:2,Ullensaker/Kisa,Norwegen Adeccoligaen
025,14.08.,20:45,IRL 1,Cork City FC,3:0,FC Sligo Rovers,Irland Premier Division
026,14.08.,21:00,ITA B,Perugia Calcio,2:1,Delfino Pescara,Italien Serie B
027,14.08.,21:00,CL,FC Barcelona ESP*,2:8,Bayern München GER,UEFA Champions League
028,14.08.,21:00,CL,FC Barcelona,2:9,Bayern München+1,UEFA Champions League
029,14.08.,21:00,CL,FC Barcelona+1,3:8,FC Bayern München,UEFA Champions League
030,14.08.,21:00,CL,FC Barcelona+2,4:8,FC Bayern München,UEFA Champions League
031,15.08.,09:00,AUS 1,Sydney FC,1:2,Western United FC,Australien Hyundai A-League
032,15.08.,11:00,JPN 1,Vegalta Sendai,0:0,Shimizu S-Pulse,Japan J.League
033,15.08.,11:00,JPN 1,Yokohama FC,4:2,Shonan Bellmare,Japan J.League
034,15.08.,11:30,JPN 1,Oita Trinita,1:0,Yokohama F Marinos,Japan J.League
035,15.08.,12:00,JPN 1,Kashiwa Reysol,1:3,Cerezo Osaka,Japan J.League
036,15.08.,12:00,JPN 1,FC Tokyo,1:0,Nagoya Grampus,Japan J.League
037,15.08.,12:00,JPN 1,Urawa RD,1:0,Sanfr. Hiroshima,Japan J.League
038,15.08.,12:00,JPN 1,Sagan Tosu,abgesagt,Gamba Osaka,Japan J.League
039,15.08.,14:30,RUS PL,Dinamo Moskau,0:0,FC Rotor Wolgograd,Russland Premier League
040,15.08.,14:30,RUS PL,FC Rubin Kazan,1:1,Ural Jekaterinburg,Russland Premier League
041,15.08.,15:00,SWE 1,Örebro SK,0:3,Djurgardens IF,Schweden Allsvenskan
042,15.08.,16:00,SCO PS,FC Kilmarnock,1:2,FC St. Johnstone,Schottland Premiership
043,15.08.,16:00,SCO PS,FC Ross County,1:2,Dundee United,Schottland Premiership
044,15.08.,16:00,SCO PS,Hamilton FC,0:1,FC St. Mirren,Schottland Premiership
045,15.08.,16:00,NOR 1,Sarpsborg 08,2:1,Molde FK,Norwegen Tippeligaen
046,15.08.,16:00,FIN 1,HJK Helsinki,1:1,FC Honka,Finnland Veikkausliiga
047,15.08.,16:00,FIN 1,Tampereen Ilves,0:0,Seinajoen JK,Finnland Veikkausliiga
048,15.08.,16:00,FS,SK Rapid Wien AUT,3:0,Slovan Liberec CZE,Freundschaftsspiele International (Klub)
049,15.08.,16:00,RL TIR,Wack. Innsbruck II,2:2,FC Kitzbühel,Regionalliga Tirol
050,15.08.,16:30,BEL 1,KRC Genk,1:1,OH Leuven,Belgien Jupiler Pro League
051,15.08.,17:00,RUS PL,ZSKA Moskau,2:1,FK Tambow,Russland Premier League
052,15.08.,17:30,SWE 2,Dalkurd FF,1:1,Halmstads BK,Schweden Superettan
053,15.08.,17:30,SWE 2,GIF Sundsvall,3:0,GAIS Göteborg,Schweden Superettan
054,15.08.,17:30,SWE 2,Östers IF,4:2,IK Brage,Schweden Superettan
055,15.08.,17:55,CRO 1,HNK Rijeka,2:1,HNK Sibenik,Kroatien 1. HNL
056,15.08.,18:00,RUS PL,Lok Moskau,1:0,FC Krasnodar,Russland Premier League
057,15.08.,18:00,RL TIR,SC Imst 1933,2:4,SV Wörgl,Regionalliga Tirol
058,15.08.,18:30,SCO PS,Hibernian FC,0:0,FC Motherwell,Schottland Premiership
059,15.08.,19:00,RUS PL,FC Rostov,0:2,Zenit St.Petersb.,Russland Premier League
060,15.08.,19:00,BEL 1,Sporting Charleroi,1:0,KV Oostende,Belgien Jupiler Pro League
061,15.08.,19:00,BEL 1,KAA Gent,1:2,KV Kortrijk,Belgien Jupiler Pro League
062,15.08.,20:05,CRO 1,NK Osijek,0:0,NK Slaven Belupo,Kroatien 1. HNL
063,15.08.,21:00,CL,Man. City ENG*,1:3,Ol. Lyon FRA,UEFA Champions League
064,15.08.,21:00,CL,Manchester City,1:4,Olympique Lyon+1,UEFA Champions League
065,15.08.,21:00,CL,Manchester City,1:5,Olympique Lyon+2,UEFA Champions League
066,16.08.,13:30,BEL 1,Cercle Brügge KSV,2:1,FC Royal Antwerpen,Belgien Jupiler Pro League
067,16.08.,14:30,SWE 1,Falkenbergs FF,1:1,AIK Stockholm,Schweden Allsvenskan
068,16.08.,14:30,SWE 1,Hammarby IF,2:2,IF Elfsborg,Schweden Allsvenskan
069,16.08.,14:30,SWE 2,Vasteraas SK,2:0,Umea FC,Schweden Superettan
070,16.08.,14:30,SWE 2,Degerfors IF,4:1,Ljungskile SK,Schweden Superettan
071,16.08.,15:10,F1,"Hamilton, Lewis",Hamilto,"Bottas, Valtteri",Formel 1
072,16.08.,15:10,F1,"Leclerc, Charles",Vettel,"Vettel, Sebastian",Formel 1
