Date,League,Team 1,Score,Team 2,League Name
30.05. 11:00,TEN ATP,"Vavassori, Andrea",3:2,"Kecmanovic, Mio.",Tennis ATP
30.05. 11:00,TEN ATP,"Paul, Tommy",3:0,"Stricker, Dominic",Tennis ATP
30.05. 11:45,TEN WTA,"Bronzetti, Lucia",0:2,"Jabeur, Ons",Tennis WTA
30.05. 12:40,TEN ATP,"Zverev, Alexander",3:0,"Harris, Lloyd",Tennis ATP
30.05. 14:15,TEN WTA,"Rus, Arantxa",0:2,"Grabher, Julia",Tennis WTA
30.05. 15:55,TEN ATP,Cerundolo F.,3:1,"Munar, Jaume",Tennis ATP
30.05. 17:15,TEN ATP,"Gasquet, Richard",1:3,"Rinderknech, A.",Tennis ATP
30.05. 17:30,FIN CUP,HJK Helsinki,1:1,FC Honka,Finnland Cup
30.05. 17:30,FIN CUP,FC Lahti,0:1,HIFK Helsinki,Finnland Cup
30.05. 18:10,TEN ATP,"Monteiro, Thiago",2:3,"Hanfmann, Yan.",Tennis ATP
30.05. 19:00,TUR 1,Karagümrük,2:0,Kayserispor,Türkei Süper Lig
30.05. 19:00,TUR 1,Sivasspor,1:0,Konyaspor,Türkei Süper Lig
30.05. 19:00,TUR 1,Alanyaspor,1:3,Kasimpasa,Türkei Süper Lig
30.05. 19:00,TUR 1,Istanbulspor AS,0:2,Adana Demirspor,Türkei Süper Lig
30.05. 19:00,TUR 1,Giresunspor,2:4,Trabzonspor,Türkei Süper Lig
30.05. 19:00,TUR 1,MKE Ankaragücü,1:4,Galatasaray,Türkei Süper Lig
30.05. 19:00,TUR 1,MKE Ankaragücü+1,2:4,Galatasaray,Türkei Süper Lig
30.05. 19:00,TUR 1,Fenerbahce,2:0,Antalyaspor,Türkei Süper Lig
30.05. 19:00,TUR 1,Fenerbahce,2:1,Antalyaspor+1,Türkei Süper Lig
30.05. 19:00,DEN 1,Randers FC,1:3,AGF Aarhus,Dänemark Superligaen
30.05. 19:00,EGY 1,El Zamalek,2:0,Talaea El Gaish,Ägypten Premier League
30.05. 19:15,TEN WTA,"Azarenka, Victoria",1:2,"Andreescu, Bianca",Tennis WTA
30.05. 19:30,U20 WM,USA U20,4:0,Neuseeland U20,U20 Weltmeisterschaft
30.05. 20:00,NL 1,VVV Venlo,1:1,Almere City FC,Niederlande Eredivisie
30.05. 20:15,TEN ATP,"Monfils, Gael",3:2,"Baez, Sebastian",Tennis ATP
30.05. 20:30,ITA B,Cagliari Calcio,3:2,FC Parma,Italien Serie B
30.05. 20:30,BB GER,Bayern München,88:93,Ratiopharm Ulm,Deutschland BBL
30.05. 20:45,NIRL 1,FC Annagh United,2:1,FC Dungannon,Nordirland JJB Sports Premiership
30.05. 23:00,U20 WM,Usbekistan U20,0:1,Israel U20,U20 Weltmeisterschaft
31.05. 01:00,PAR 1,Tacuary Asuncion,3:1,Sportivo Luqueno,Paraguay Primera Division
31.05. 11:00,TEN ATP,"Ofner, Sebastian",3:0,"Korda, Sebastian",Tennis ATP
31.05. 12:30,JPN 1,Urawa RD,2:1,Sanfr. Hiroshima,Japan J-League 1
31.05. 17:30,FIN CUP,FC KTP,1:1,IF Gnistan,Finnland Cup
31.05. 17:30,FIN CUP,Tampereen Ilves,3:1,Käpylän Pallo,Finnland Cup
31.05. 17:30,FIN CUP,Järvenpään PS,0:0,Ekenäs IF,Finnland Cup
31.05. 17:30,FIN CUP,JJK Jyväskylä,0:2,Kuopio PS,Finnland Cup
31.05. 18:00,BUL 1,Beroe Stara Zagora,1:1,Pirin Blagoevgrad,Bulgarien Premier League
31.05. 18:00,BUL 1,Botev Vratsa,2:3,FK Hebar Pazardzhi,Bulgarien Premier League
31.05. 18:00,BUL 1,Spartak Varna,1:0,FK Septemvri Sofia,Bulgarien Premier League
31.05. 18:00,EGY 1,Nat. Bank Egypt,3:1,El Daklyeh,Ägypten Premier League
31.05. 18:45,NL 1,NAC Breda,1:2,FC Emmen,Niederlande Eredivisie
31.05. 19:00,TUR 2,Eyupspor,1:0,Bodrumspor,Türkei TFF 1. Lig
31.05. 19:00,SWE 2,Utsiktens BK,2:1,Örebro SK,Schweden Superettan
31.05. 19:00,SWE 2,IK Brage,2:1,Östersunds FK,Schweden Superettan
31.05. 19:00,SWE 2,Gefle IF,1:3,GIF Sundsvall,Schweden Superettan
31.05. 19:00,SWE 2,Landskrona BoIS,1:1,Trelleborgs FF,Schweden Superettan
31.05. 19:30,SUI 2,Rapperswil-Jona,1:3,Xamax Neuchatel,Schweiz Challenge League
31.05. 19:30,U20 WM,Kolumbien U20,5:1,Slowakei U20,U20 Weltmeisterschaft
31.05. 19:30,U20 WM,Brasilien U20,4:1,Tunesien U20,U20 Weltmeisterschaft
31.05. 20:00,SAUD 1,Al Nasr Riad,3:0,Al Fateh SC,Saudi Professional League
31.05. 20:30,ITACRPO,Virtus Entella,2:3,Delfino Pescara,"Italien Serie C, Relegations Playoff"
31.05. 20:30,ITACRPO,Pordenone Calcio,1:3,Calcio Lecco,"Italien Serie C, Relegations Playoff"
31.05. 20:30,ITACRPO,FC Crotone,2:2,US Foggia,"Italien Serie C, Relegations Playoff"
31.05. 20:30,ITACRPO,AC Cesena,0:0,LR Vicenza,"Italien Serie C, Relegations Playoff"
31.05. 20:30,EGY 1,Arab Contractors,2:2,Ismaily SC,Ägypten Premier League
31.05. 20:30,BB GER,Baskets Bonn,94:65,MHP Ludwigsburg,Deutschland BBL
31.05. 21:00,EL,FC Sevilla ESP*,1:1,AS Roma ITA,UEFA Europa League
31.05. 21:00,EL,FC Sevilla,1:2,AS Roma+1,UEFA Europa League
31.05. 21:00,EL,FC Sevilla+1,2:1,AS Roma,UEFA Europa League
31.05. 23:00,U20 WM,England U20,1:2,Italien U20,U20 Weltmeisterschaft
31.05. 23:00,U20 WM,Argentinien U20,0:2,Nigeria U20,U20 Weltmeisterschaft
01.06. 00:00,BRA CUP,Fortaleza EC CE,1:0,SE Palmeiras SP,Brasilien Cup
01.06. 00:00,BRA CUP,EC Bahia BA,1:1,Santos SP,Brasilien Cup
01.06. 01:00,BRA CUP,Cruzeiro EC MG,0:1,Gremio RS,Brasilien Cup
01.06. 01:00,USA MLS,Atlanta United FC,3:3,New England Rev.,USA Major League Soccer
01.06. 01:15,COL 1,Boyaca Chico FC,1:0,Indep. Medellin,Kolumbien Primera Liga
01.06. 01:30,USA MLS,FC Toronto,0:0,Chicago Fire,USA Major League Soccer
01.06. 01:30,USA MLS,Philadelphia Union,1:0,Charlotte FC,USA Major League Soccer
01.06. 01:30,USA MLS,New York City FC,1:3,FC Cincinnati,USA Major League Soccer
01.06. 01:30,USA MLS,Inter Miami CF,0:1,NY Red Bulls,USA Major League Soccer
01.06. 01:30,USA MLS,DC United,2:2,CF Montreal,USA Major League Soccer
01.06. 01:30,USA MLS,Columbus Crew,3:2,Colorado Rapids,USA Major League Soccer
01.06. 02:00,PER 1,FBC Melgar,2:2,Cesar Vallejo,Peru Primera Division
01.06. 02:30,BRA CUP,Internacional RS,3:1,America Mineiro MG,Brasilien Cup
01.06. 02:30,BRA CUP,Corinthians SP,2:0,Atletico MG,Brasilien Cup
01.06. 02:30,BRA CUP,Botafogo FR RJ,1:0,CA Paranaense,Brasilien Cup
01.06. 02:30,USA MLS,Sp. Kansas City,2:1,FC Dallas,USA Major League Soccer
01.06. 02:30,USA MLS,Austin FC,2:1,FC Minnesota Utd.,USA Major League Soccer
01.06. 03:30,COL 1,America de Cali,0:1,Los Millonarios,Kolumbien Primera Liga
01.06. 03:30,USA MLS,Real Salt Lake,2:3,LA Galaxy,USA Major League Soccer
01.06. 04:00,CCC CL,Club Leon MEX,2:1,Los Angeles FC USA,CONCACAF Champions League
01.06. 04:30,USA MLS,Vancouver W'caps,6:2,Houston Dynamo,USA Major League Soccer
01.06. 04:30,USA MLS,Seattle Sounders,0:1,San Jose Earthqua,USA Major League Soccer
01.06. 16:30,BUL 1,Lokomotive Sofia,1:2,Botev Plovdiv,Bulgarien Premier League
01.06. 18:45,NL 1,SC Heerenveen,1:2,Twente Enschede,Niederlande Eredivisie
01.06. 19:00,BUL 1,FK Arda Kurdzhali,3:2,PFC Slavia Sofia,Bulgarien Premier League
01.06. 19:00,SWE 2,Helsingborgs IF,0:0,Skövde AIK,Schweden Superettan
01.06. 19:00,SWE 2,Jonkopings Södra,2:3,Östers IF,Schweden Superettan
01.06. 19:00,SWE 2,Västeras SK,0:0,AFC Eskilstuna,Schweden Superettan
01.06. 19:00,SWE 2,GAIS Göteborg,0:1,Örgryte Göteborg,Schweden Superettan
01.06. 19:30,U20 WM,Gambia U20,0:1,Uruguay U20,U20 Weltmeisterschaft
01.06. 19:30,ROU 1,CFR 1907 Cluj,0:0,Uni Craiova 1948,Rumänien Liga 1
01.06. 20:00,ISL 1,IBV Vestmannaeyjar,3:0,HK Kopavogs,Island Bestadeild
01.06. 20:30,ITA B,Brescia Calcio,1:1,Cosenza Calcio,Italien Serie B
01.06. 20:30,EGY 1,Enppi Club,1:0,Ghazl El Mahallah,Ägypten Premier League
01.06. 20:45,GER BL,VfB Stuttgart,3:0,Hamburger SV,Deutschland Bundesliga
01.06. 20:45,GER BL,VfB Stuttgart,3:1,Hamburger SV+1,Deutschland Bundesliga
01.06. 21:00,NL 1,FC Utrecht,1:2,Sparta Rotterdam,Niederlande Eredivisie
01.06. 21:00,SCO PS,Partick Thistle,2:0,FC Ross County,Schottland Premiership
01.06. 21:15,ISL 1,Fylkir Reykjavik,3:3,KR Reykjavik,Island Bestadeild
01.06. 21:15,ISL 2,IA Akranes,1:2,Fjölnir,Island 2. Liga
01.06. 21:15,ISL 2,UMF Selfoss,2:1,Throttur Reykjavik,Island 2. Liga
01.06. 21:15,ISL 2,UMF Grindavik,0:3,Afturelding,Island 2. Liga
01.06. 23:00,U20 WM,Ecuador U20,2:3,Südkorea U20,U20 Weltmeisterschaft
02.06. 00:30,BRA CUP,Sao Paulo SP,1:3,Sport Recife PE,Brasilien Cup
02.06. 01:00,BRA CUP,Flamengo RJ,2:0,Fluminense RJ,Brasilien Cup
02.06. 01:00,ARG 1,CA Sarmiento,0:0,Newell's Old B.,Argentinien Primera Division
02.06. 01:15,COL 1,Deportivo Pasto,0:0,Alianza Petrolera,Kolumbien Primera Liga
02.06. 02:30,ARG 1,Arsenal de Sarandi,1:0,Boca Juniors,Argentinien Primera Division
02.06. 03:00,PER 1,Sporting Cristal,4:2,Club Cienciano,Peru Primera Division
02.06. 03:30,COL 1,Atletico Nacional,1:0,Rionegro Aguilas,Kolumbien Primera Liga
02.06. 19:30,AUT BL,WSG Tirol,1:1,SCR Altach,Österreich Bundesliga
02.06. 19:30,AUT BL,SV Ried,1:2,Wolfsberger AC,Österreich Bundesliga
02.06. 19:30,AUT BL,Austria Lustenau,5:1,TSV Hartberg,Österreich Bundesliga
03.06. 16:00,ENG FA,Manchester City*,2:1,Manchester United,England - FA Cup
03.06. 17:00,AUT BL,Austria Klagenfurt,2:1,SK Rapid Wien,Österreich Bundesliga
03.06. 17:00,AUT BL,SK Sturm Graz,2:0,LASK,Österreich Bundesliga
03.06. 17:00,AUT BL,FK Austria Wien,1:1,RB Salzburg,Österreich Bundesliga
03.06. 20:00,GER CUP,RB Leipzig*,2:0,Eintr. Frankfurt,Deutschland DFB Pokal
