Date,League,Team 1,Score,Team 2,League Name
04.07. 12:00,TEN ATP,"Thiem, Dominic",2:3,"Tsitsipas, Stefan.",Tennis ATP
04.07. 12:00,TEN ATP,"Fucsovics, Marton",3:0,"Griekspoor, Tallon",Tennis ATP
04.07. 12:00,TEN ATP,"Berrettini, Matteo",3:1,"Sonego, Lorenzo",Tennis ATP
04.07. 14:30,TEN WTA,"Rogers, Shelby",1:2,"Rybakina, Elena",Tennis WTA
04.07. 16:00,FS,Dunajska Str. SVK,4:2,SK Rapid Wien AUT,Freundschaftsspiele International (Klub)
04.07. 16:00,FS,YB Bern SUI*,5:0,Lausanne-Ouchy SUI,Freundschaftsspiele International (Klub)
04.07. 16:25,TEN WTA,"Jabeur, Ons",2:0,"Frech, Magdalena",Tennis WTA
04.07. 16:30,LAT 1,Rigas Futb.Skola,1:0,FK Jelgava,Lettland LMT Virsliga
04.07. 17:00,FS,LASK AUT*,2:0,1860 München GER,Freundschaftsspiele International (Klub)
04.07. 17:30,FIN 2,SJK Akatemia,3:1,JJK Jyväskylä,Finnland Ykkosliiga
04.07. 18:00,FIN 4A,HJK Klubi 04,4:1,PK Keski-Uusimaa,Finnland Kakkonen Group A
04.07. 18:00,U19 EM,Norwegen U19,5:4,Griechenland U19,U19 Europameisterschaft
04.07. 18:00,U19 EM,Norwegen U19,5:5,Griechenland U19+1,U19 Europameisterschaft
04.07. 18:00,PER 2,Ayacucho FC,1:3,Dep. Llacuabamba,"Peru, Segunda Division"
04.07. 18:00,ALG 1,USM Alger,0:0,NC Magra,Algeria Ligue 1
04.07. 18:00,ALG 1,EL Bayadh,2:0,ASO Chlef,Algeria Ligue 1
04.07. 18:00,ALG 1,USM Khenchela,2:1,RC Arbaa,Algeria Ligue 1
04.07. 18:00,ALG 1,JS Kabylie,1:0,US Biskra,Algeria Ligue 1
04.07. 18:00,ALG 1,Paradou AC,1:0,MC Alger,Algeria Ligue 1
04.07. 18:00,ALG 1,MC Oran,3:1,ES Setif,Algeria Ligue 1
04.07. 18:00,FS,Legia Warsch. POL*,2:0,RB Salzburg AUT,Freundschaftsspiele International (Klub)
04.07. 18:00,ALG 1,CS Constantine,0:0,CR Belouizdad,Algeria Ligue 1
04.07. 18:30,FS,FC St. Gallen SUI*,1:2,Aust. Lustenau AUT,Freundschaftsspiele International (Klub)
04.07. 19:30,ISL CUP,KA Akureyri,2:2,Breidablik,Island Cup
04.07. 19:30,LAT 1,FC Riga,3:1,FK Liepaja,Lettland LMT Virsliga
04.07. 19:30,EGT CUP,El Zamalek,6:1,Arab Contractors,"Ägypten, Cup"
04.07. 20:00,PER 2,Univ. San Martin,0:1,Comerciantes Uni,"Peru, Segunda Division"
04.07. 21:15,U19 EM,Island U19,1:2,Spanien U19,U19 Europameisterschaft
04.07. 21:15,U19 EM,Island U19+1,2:2,Spanien U19,U19 Europameisterschaft
04.07. 22:30,PER 1,Sport Boys Assoc.,0:1,Academia Cantolao,Peru Primera Division
05.07. 00:30,G-CUP,Kanada,4:2,Kuba,Gold Cup
05.07. 00:30,G-CUP,Kanada,4:4,Kuba+2,Gold Cup
05.07. 00:30,G-CUP,Guadeloupe,2:3,Guatemala,Gold Cup
05.07. 01:00,ARG 1,Atletico Lanus,0:1,Velez Sarsfield,Argentinien Primera Division
05.07. 01:00,CHI CUP,Colo Colo,6:1,Union La Calera,Copa Chile
05.07. 01:30,USA MLS,Orlando City SC,4:0,FC Toronto,USA Major League Soccer
05.07. 01:30,USA MLS,Inter Miami CF,2:2,Columbus Crew,USA Major League Soccer
05.07. 02:00,BRA CUP,EC Bahia BA,1:1,Gremio RS,Brasilien Cup
05.07. 02:30,G-CUP,Panama,2:2,El Salvador,Gold Cup
05.07. 02:30,G-CUP,Costa Rica,6:4,Martinique,Gold Cup
