Date,League,Team 1,Score,Team 2,League Name
05.09. 18:10,TEN WTA,"Ostapenko, Jelena",0:2,"Gauff, Cori",Tennis WTA
05.09. 18:30,DEN CUP,Brönshöj BK,0:5,B93 Kopenhagen,Dänemark Landspokalturneringen
05.09. 19:00,DEN CUP,Skive IK,1:3,Thisted FC,Dänemark Landspokalturneringen
05.09. 19:00,AUT RLM,FC Gleisdorf,3:0,Bad Gleichenberg,Österreich Regionalliga Mitte
05.09. 19:00,HB GER,Balingen/Weilst.,29:28,TVB Stuttgart,Deutsche Handball Bundesliga
05.09. 19:30,HB AUT,SC Ferlach,30:34,Fivers Margareten,Österreich HLA
05.09. 19:50,TEN ATP,"Fritz, Taylor",0:3,"Djokovic, Novak",Tennis ATP
05.09. 20:00,ENG LTR,FC Barrow,0:2,FC Blackpool,England Football League Trophy
05.09. 20:00,ENG LTR,Fleetwood Town,2:0,Tranmere Rovers,England Football League Trophy
05.09. 20:00,ENG LTR,Forest Green,3:0,Shrewsbury Town,England Football League Trophy
05.09. 20:00,ENG LTR,AFC Wimbledon,1:1,FC Stevenage,England Football League Trophy
05.09. 20:00,ENG LTR,FC Gillingham,2:1,Leyton Orient,England Football League Trophy
05.09. 20:00,ENG LTR,Northampton,1:3,Oxford United,England Football League Trophy
05.09. 20:30,ENG LTR,FC Barnsley,2:0,Grimsby Town,England Football League Trophy
05.09. 20:45,ENG LTR,Bolton Wanderers,3:0,Salford City,England Football League Trophy
05.09. 20:45,ENG LTR,Bolton Wanderers,3:1,Salford City+1,England Football League Trophy
05.09. 20:45,ENG LTR,Port Vale FC,1:0,FC Crewe Alexandra,England Football League Trophy
05.09. 20:45,ENG LTR,Accrington Stanley,1:0,Carlisle United,England Football League Trophy
05.09. 20:45,ENG LTR,Crawley Town,4:3,Charlton Athletic,England Football League Trophy
05.09. 20:45,ENG LTR,Bristol Rovers,4:1,Cheltenham Town,England Football League Trophy
05.09. 20:45,SCO CC,Ayr United,0:1,FC Falkirk,Schottland Challenge Cup
05.09. 23:00,COL 2,Cucuta Deportivo,1:1,CD Real Santander,Categoría Primera B
06.09. 00:00,CHI 2,CD La Serena,2:0,Union San Felipe,"Chile, Primera B"
06.09. 01:05,MEX 2,Aleb. de Oaxaca,2:1,Venados FC,Mexiko Liga de Expansion
06.09. 01:15,TEN WTA,"Cirstea, Sorana",0:2,"Muchova, Karolina",Tennis WTA
06.09. 02:30,BRA 2,Chapecoense SC,0:1,Guarani FC SP,Brasilien Brasilero Serie B
06.09. 03:05,MEX 2,Club Celaya,1:1,Cimarrones Sonora,Mexiko Liga de Expansion
06.09. 03:10,COL 1,Alianza Petrolera,1:1,Boyaca Chico FC,Kolumbien Primera Liga
06.09. 03:20,TEN ATP,"Tiafoe, Frances",1:3,"Shelton, Ben",Tennis ATP
06.09. 05:05,MEX 2,Correcaminos UAT,1:0,Atlante FC,Mexiko Liga de Expansion
