Date,League,Team 1,Score,Team 2,League Name
03.10. 18:45,CL,RB Salzburg AUT,0:2,Real Sociedad ESP,UEFA Champions League
03.10. 18:45,CL,RB Salzburg+1,1:2,Real Sociedad,UEFA Champions League
03.10. 18:45,CL,RB Salzburg,0:3,Real Sociedad+1,UEFA Champions League
03.10. 18:45,CL,Union Berlin GER,2:3,Sporting Braga POR,UEFA Champions League
03.10. 18:45,CL,Union Berlin,2:4,Sporting Braga+1,UEFA Champions League
03.10. 18:45,FRA 2,Bordeaux,1:1,SM Caen,Frankreich Ligue 2
03.10. 19:00,ESP 2,Alcorcon AD,1:2,Albacete Balompie,Spanien Segunda Division
03.10. 19:00,ESP 2,Levante UD,1:1,CF Villarreal B,Spanien Segunda Division
03.10. 19:00,GER 3,FC Saarbrücken,1:1,VfB Lübeck,Deutschland 3. Liga
03.10. 19:00,GER 3,SC Verl,3:1,Arminia Bielefeld,Deutschland 3. Liga
03.10. 19:00,GER 3,SSV Ulm 1846,1:0,TSV 1860 München,Deutschland 3. Liga
03.10. 19:00,GER 3,SC Freiburg II,0:2,SV Sandhausen,Deutschland 3. Liga
03.10. 19:00,GER 3,FC Viktoria Köln,1:0,FC Ingolstadt,Deutschland 3. Liga
03.10. 19:15,EH AUT,EC RB Salzburg,2:1,HC Pustertal,win2day ICE Hockey League
03.10. 19:15,EH AUT,EC KAC,5:2,Vienna Capitals,win2day ICE Hockey League
03.10. 19:15,EH AUT,HC Innsbruck,2:2,Black Wings Linz,win2day ICE Hockey League
03.10. 19:15,EH AUT,EC VSV,1:2,Fehervar AV19,win2day ICE Hockey League
03.10. 19:30,EH AUT,Pion. Vorarlberg,5:4,HC Bozen Foxes,win2day ICE Hockey League
03.10. 19:45,EH AUT,HC Asiago,4:3,EC Graz 99ers,win2day ICE Hockey League
03.10. 20:30,ENG PL,Luton Town,1:2,FC Burnley,England Premier League
03.10. 20:45,ENG CS,Middlesbrough,2:0,Cardiff City,England Championship
03.10. 20:45,ENG CS,Plymouth Argyle,0:2,FC Millwall,England Championship
03.10. 20:45,ENG CS,Ipswich Town,3:0,Hull City,England Championship
03.10. 20:45,ENG CS,Birmingham City,4:1,Huddersfield Town,England Championship
03.10. 21:00,ENG CS,West Bromwich,1:0,Sheffield Wednes.,England Championship
03.10. 21:00,ENG CS,Stoke City,0:1,FC Southampton,England Championship
03.10. 21:00,CL,Manchester U. ENG,2:3,Galatasaray TUR,UEFA Champions League
03.10. 21:00,CL,Manchester United,2:4,Galatasaray+1,UEFA Champions League
03.10. 21:00,CL,RC Lens FRA,2:1,FC Arsenal ENG,UEFA Champions League
03.10. 21:00,CL,RC Lens+1,3:1,FC Arsenal,UEFA Champions League
03.10. 21:00,CL,FC Kopenhagen DEN,1:2,Bayern München GER,UEFA Champions League
03.10. 21:00,CL,FC Kopenhagen+1,2:2,Bayern München,UEFA Champions League
03.10. 21:00,CL,FC Kopenhagen+2,3:2,Bayern München,UEFA Champions League
03.10. 21:00,CL,SSC Napoli ITA,2:3,Real Madrid ESP,UEFA Champions League
03.10. 21:00,CL,SSC Napoli,2:4,Real Madrid+1,UEFA Champions League
03.10. 21:00,CL,SSC Napoli+1,3:3,Real Madrid,UEFA Champions League
03.10. 21:00,CL,Inter Mailand ITA,1:0,Benfica Lissab POR,UEFA Champions League
03.10. 21:00,CL,Inter Mailand,1:1,Benfica Lissabon+1,UEFA Champions League
03.10. 21:00,CL,PSV Eindhoven NED,2:2,FC Sevilla ESP,UEFA Champions League
03.10. 21:30,ESP 2,Teneriffa CD,2:0,Racing Santander,Spanien Segunda Division
04.10. 18:45,CL,Atl. Madrid ESP,3:2,Feyenoord NED,UEFA Champions League
04.10. 18:45,CL,Atletico Madrid,3:3,Feyenoord+1,UEFA Champions League
04.10. 18:45,CL,R. Antwerpen BEL,2:3,Shakhtar Don. UKR,UEFA Champions League
04.10. 18:45,FRA 2,AS Saint Etienne,2:0,Dunkerque,Frankreich Ligue 2
04.10. 19:00,NOR 1,Stabaek IF,5:2,HamKam,Norwegen Tippeligaen
04.10. 19:00,ESP 2,Real Oviedo,1:0,SD Huesca,Spanien Segunda Division
04.10. 19:00,ESP 2,CD Eldense,0:1,Real Valladolid,Spanien Segunda Division
04.10. 19:00,GER 3,Dynamo Dresden,2:1,Hallescher FC,Deutschland 3. Liga
04.10. 19:00,GER 3,Preussen Münster,4:0,Erzgebirge Aue,Deutschland 3. Liga
04.10. 19:00,GER 3,Jahn Regensburg,2:0,W. Mannheim,Deutschland 3. Liga
04.10. 19:00,GER 3,Unterhaching,4:0,Rot-Weiss Essen,Deutschland 3. Liga
04.10. 20:45,ENG CS,AFC Sunderland,2:0,FC Watford,England Championship
04.10. 20:45,ENG CS,Leeds United,1:0,Queens Park R.,England Championship
04.10. 20:45,ENG CS,Leicester City,3:0,Preston North End,England Championship
04.10. 20:45,ENG CS,Swansea City,2:1,Norwich City,England Championship
04.10. 20:45,ENG CS,Coventry City,1:0,Blackburn Rovers,England Championship
04.10. 21:00,ENG CS,Rotherham United,1:2,Bristol City,England Championship
04.10. 21:00,CL,Roter Stern B. SRB,2:2,YB Bern SUI,UEFA Champions League
04.10. 21:00,CL,Roter Stern B.,2:3,Young Boys Bern+1,UEFA Champions League
04.10. 21:00,CL,Celtic Glasgow SCO,1:2,Lazio Rom ITA,UEFA Champions League
04.10. 21:00,CL,RB Leipzig GER,1:3,Man. City ENG,UEFA Champions League
04.10. 21:00,CL,RB Leipzig+1,2:3,Manchester City,UEFA Champions League
04.10. 21:00,CL,Bor. Dortmund GER,0:0,AC Milan ITA,UEFA Champions League
