Date,League,Team 1,Score,Team 2,League Name
22.12. 17:45,HE-SL,"Feller, Manuel",Feller,Kristoffersen H.,"Ski Alpin, Herren Slalom"
22.12. 17:45,HE-SL,"Schwarz, Marco",Schwarz,"Noel, Clement","Ski Alpin, Herren Slalom"
22.12. 17:45,HE-SL,"Gstrein, Fabio",Haugan,"Haugan, Timon","Ski Alpin, Herren Slalom"
22.12. 17:45,HE-SL,"Pertl, Adrian",Tipp X,Foss-Solevaag S.,"Ski Alpin, Herren Slalom"
22.12. 17:45,HE-SL,"Matt, Michael",Ryding,"Ryding, Dave","Ski Alpin, Herren Slalom"
22.12. 18:30,ITA A,US Sassuolo,1:2,FC Genua,Italien Serie A
22.12. 18:30,ITA A,FC Empoli,0:2,Lazio Rom,Italien Serie A
22.12. 18:30,ITA C1B,Lucchese Libertas,1:0,US Ancona 1905,"Italien Lega Pro Prima Divisione, Girone B"
22.12. 18:30,ITA C1C,ASD Turris Calcio,3:1,SSD Brindisi,"Italien, Lega Pro Prima Divisione, Girone C"
22.12. 19:00,KLUB WM,Man. City ENG*,4:0,Fluminense RJ BRA,FIFA Klub WM
22.12. 19:15,EH AUT,Black Wings Linz,2:2,Fehervar AV19,win2day ICE Hockey League
22.12. 19:15,EH AUT,EC VSV,6:3,HC Asiago,win2day ICE Hockey League
22.12. 19:15,EH AUT,EC RB Salzburg,1:7,HC Pustertal,win2day ICE Hockey League
22.12. 19:15,EH AUT,EC Graz 99ers,1:2,EC KAC,win2day ICE Hockey League
22.12. 19:30,EH AUT,HC Innsbruck,1:1,Vienna Capitals,win2day ICE Hockey League
22.12. 19:30,ROU 1,Dinamo Bukarest,1:0,FC Voluntari,Rumänien Liga 1
22.12. 19:45,EH AUT,HC Bozen Foxes,3:0,HK Olimpija,win2day ICE Hockey League
22.12. 20:00,NL 2,NAC Breda,1:2,Willem II Tilburg,Niederlande Jupiler League
22.12. 20:00,NL 2,VVV Venlo,2:1,SC Telstar,Niederlande Jupiler League
22.12. 20:00,NL 2,FC Den Bosch,3:1,SC Cambuur,Niederlande Jupiler League
22.12. 20:00,NL 2,MVV Maastricht,2:0,FC Oss,Niederlande Jupiler League
22.12. 20:45,ITA A,Salernitana Calcio,2:2,AC Milan,Italien Serie A
22.12. 20:45,ITA A,AC Monza,0:1,AC Fiorentina,Italien Serie A
22.12. 20:45,ITA C1A,Triestina Calcio,0:1,Padua Calcio,"Italien Lega Pro Prima Divisione, Girone A"
22.12. 20:45,ITA C1A,LR Vicenza,1:0,Alessandria Calcio,"Italien Lega Pro Prima Divisione, Girone A"
22.12. 20:45,ITA C1C,Taranto Sport,2:1,Latina Calcio,"Italien, Lega Pro Prima Divisione, Girone C"
22.12. 20:45,ITA C1C,FC Crotone,0:1,US Avellino,"Italien, Lega Pro Prima Divisione, Girone C"
22.12. 20:45,BEL 1,RWD Molenbeek,1:6,Club Brügge,Belgien Jupiler Pro League
22.12. 20:45,SCO CS,FC Raith Rovers,4:4,Ayr United,Schottland Championship
22.12. 20:45,SCO CS,FC Queens Park,0:0,Dundee United,Schottland Championship
22.12. 20:45,ENG CS,Swansea City,2:1,Preston North End,England Championship
22.12. 20:45,ENG CS,Bristol City,3:2,Hull City,England Championship
22.12. 20:45,ENG 1,Cambridge United,2:0,Exeter City,England League One
22.12. 21:00,ENG PL,Aston Villa,1:1,Sheffield United,England Premier League
22.12. 21:15,POR LC,CD Nacional,1:3,Sporting Braga,Portugal Liga Cup
23.12. 12:30,ITA A,Frosinone Calcio,1:2,Juventus Turin,Italien Serie A
23.12. 13:30,ENG PL,West Ham United,2:0,Manchester United,England Premier League
23.12. 13:30,ENG CS,Leeds United,4:0,Ipswich Town,England Championship
23.12. 15:00,ITA A,FC Torino,1:1,Udinese Calcio,Italien Serie A
23.12. 15:00,ITA A,Bologna FC,1:0,Atalanta Bergamo,Italien Serie A
23.12. 16:00,ENG PL,Tottenham,2:1,FC Everton,England Premier League
23.12. 16:00,ENG PL,Nottingham Forest,2:3,AFC Bournemouth,England Premier League
23.12. 16:00,ENG PL,Luton Town,1:0,Newcastle United,England Premier League
23.12. 16:00,ENG PL,FC Fulham,0:2,FC Burnley,England Premier League
23.12. 16:00,ENG CS,AFC Sunderland,0:3,Coventry City,England Championship
23.12. 16:00,ENG CS,Stoke City,0:0,FC Millwall,England Championship
23.12. 16:00,ENG CS,Sheffield Wednes.,1:2,Cardiff City,England Championship
23.12. 16:00,ENG CS,Queens Park R.,0:1,FC Southampton,England Championship
23.12. 16:00,ENG CS,Plymouth Argyle,3:3,Birmingham City,England Championship
23.12. 16:00,ENG CS,Norwich City,2:0,Huddersfield Town,England Championship
23.12. 16:00,ENG CS,Middlesbrough,1:0,West Bromwich,England Championship
23.12. 16:00,ENG CS,Blackburn Rovers,1:2,FC Watford,England Championship
23.12. 16:00,SCO PS,FC Ross County,abgesagt,Hibernian FC,Schottland Premiership
23.12. 16:00,SCO PS,FC Kilmarnock,2:1,FC St. Johnstone,Schottland Premiership
23.12. 16:00,SCO PS,Heart of Midl.,2:0,FC St. Mirren,Schottland Premiership
23.12. 16:00,SCO PS,FC Dundee,abgesagt,FC Aberdeen,Schottland Premiership
23.12. 16:00,SCO PS,Celtic Glasgow,2:0,FC Livingston,Schottland Premiership
23.12. 16:00,CYP 1,APOEL Nikosia,3:0,Omonia Nikosia,Zypern 1. Division
23.12. 16:15,ESP 1,Atletico Madrid,1:0,FC Sevilla,Spanien La Liga
23.12. 17:00,TUR 1,Trabzonspor,1:1,Basaksehir,Türkei Süper Lig
23.12. 18:00,ITA A,Inter Mailand,2:0,US Lecce,Italien Serie A
23.12. 18:00,ITA A,Hellas Verona,2:0,Cagliari Calcio,Italien Serie A
23.12. 18:15,BEL 1,St. Truiden VV,1:0,Sporting Charleroi,Belgien Jupiler Pro League
23.12. 18:15,BEL 1,Royal Antwerpen,2:2,KVC Westerlo,Belgien Jupiler Pro League
23.12. 18:30,ENG PL,FC Liverpool,1:1,FC Arsenal,England Premier League
23.12. 18:30,ENG PL,FC Liverpool,1:2,FC Arsenal+1,England Premier League
23.12. 20:45,ITA A,AS Roma,2:0,SSC Napoli,Italien Serie A
23.12. 20:45,BEL 1,RSC Anderlecht,2:1,KRC Genk,Belgien Jupiler Pro League
23.12. 22:30,NFL,Pittsbgh. Steelers,34:11,Cincinnati Bengals,USA NFL
24.12. 11:30,TUR 1,Konyaspor,2:0,Kayserispor,Türkei Süper Lig
24.12. 11:30,TUR 2,Bandirmaspor,2:3,Adanaspor,Türkei TFF 1. Lig
24.12. 11:30,TUR 2,Bodrumspor,3:0,Göztepe,Türkei TFF 1. Lig
