Date,League,Team 1,Score,Team 2,League Name
08.07. 12:00,TEN ATP,"Musetti, Lorenzo",3:1,Mpetshi P.,Tennis ATP
08.07. 14:00,TEN ATP,"Fils, Arthur",1:3,"De Minaur, Alex",Tennis ATP
08.07. 15:00,EGY 1,Pharco FC,2:0,El Daklyeh,Ägypten Premier League
08.07. 16:15,TEN ATP,"Fritz, Taylor",3:2,"Zverev, Alexander",Tennis ATP
08.07. 16:30,EGY 1,Al Ittihad,0:4,Pyramids FC,Ägypten Premier League
08.07. 17:00,FIN 1,FC Inter Turku,3:0,FC Lahti,Finnland Veikkausliiga
08.07. 17:00,FIN 1,AC Oulu,1:2,Seinajoen JK,Finnland Veikkausliiga
08.07. 18:00,EGY 1,Al Ahly Kairo,2:0,Talaea El Gaish,Ägypten Premier League
08.07. 18:30,FS KLUB,WSG Tirol AUT*,0:5,FC Kopenhagen DEN,Klub-Freundschaftsspiele International
08.07. 19:00,NOR 1,Strömsgodset IF,1:1,Sandefjord Fotball,Norwegen Tippeligaen
08.07. 19:00,NOR 1,Kristiansund BK,3:1,Fredrikstad FK,Norwegen Tippeligaen
08.07. 19:00,SWE 1,Västeraas SK,1:2,BK Häcken,Schweden Allsvenskan
08.07. 19:00,SWE 1,IFK Norrköping,1:3,Djurgardens IF,Schweden Allsvenskan
08.07. 20:00,ISL 2,Thor Akureyri,2:2,UMF Grindavik,Island 2. Liga
08.07. 20:10,TEN ATP,"Rune, Holger",0:3,"Djokovic, Novak",Tennis ATP
08.07. 21:00,ARG CUP,Rosario Central*,0:1,Barracas Central,Argentinien Cup
08.07. 21:15,ISL 1,FH Hafnarfjördur,1:1,KA Akureyri,Island Bestadeild
09.07. 01:00,BRA 2,Avai FC SC,0:1,Novorizontino SP,Brasilien Brasilero Serie B
09.07. 02:00,BRA 2,Amazonas FC AM,1:2,Vila Nova GO,Brasilien Brasilero Serie B
09.07. 14:30,TEN ATP,"Sinner, Jannik",2:3,"Medvedev, Daniil",Tennis ATP
09.07. 16:40,TEN ATP,"Alcaraz, Carlos",3:1,"Paul, Tommy",Tennis ATP
09.07. 17:30,CL Q,FK Panevezys LTU,3:0,HJK Helsinki FIN,"UEFA Champions League, Qualifikation"
09.07. 18:45,CL Q,Hamrun Spartan MLT,0:1,Lincoln FC GIB,"UEFA Champions League, Qualifikation"
09.07. 20:00,CL Q,Santa Coloma AND,1:2,FC Ballkani KOS,"UEFA Champions League, Qualifikation"
