Date,League,Team 1,Score,Team 2,League Name
11.11. 18:00,HB AUT,Fivers Margareten,24:29,SC Ferlach,Österreich HLA
11.11. 18:30,ROU 2,Chindia Targoviste,2:3,CS Afumati,"Rumänien, Liga 2"
11.11. 18:45,CL FR,AS Roma Frauen ITA,0:1,Valerenga Frau NOR,UEFA Champions League Frauen
11.11. 19:00,EH CL,Lulea Hockey SWE,6:1,Kometa Brünn CZE,Champions Hockey League
11.11. 19:00,EH CL,Brynas IF SWE,1:2,SC Bern SUI,Champions Hockey League
11.11. 19:30,EH CL,Bremerhaven P. GER,2:3,Ilves Tampere FIN,Champions Hockey League
11.11. 19:45,EH CL,Zürcher Lions SUI,4:4,KalPa Kuopio FIN,Champions Hockey League
11.11. 20:00,ENG LTR,Doncaster Rovers,3:1,Bradford City FC,England Football League Trophy
11.11. 20:00,ENG LTR,Stockport County,1:1,Wigan Athletic,England Football League Trophy
11.11. 20:00,ENG LTR,MK Dons,0:4,Swindon Town,England Football League Trophy
11.11. 20:00,ENG LTR,Northampton,2:1,Shrewsbury Town,England Football League Trophy
11.11. 20:00,ENG LTR,Bristol Rovers,1:0,Plymouth Argyle,England Football League Trophy
11.11. 20:00,ENG LTR,Newport County,0:1,Exeter City,England Football League Trophy
11.11. 20:00,ENG LTR,Port Vale FC,3:3,Fleetwood Town,England Football League Trophy
11.11. 20:00,ENG LTR,Oldham Athletic,2:6,Bolton Wanderers,England Football League Trophy
11.11. 20:00,ENG LTR,FC Barnsley,0:2,Lincoln City,England Football League Trophy
11.11. 20:00,ENG LTR,FC Gillingham,0:3,Wycombe Wanderers,England Football League Trophy
11.11. 20:00,ENG LTR,Burton Albion,1:3,FC Crewe Alexandra,England Football League Trophy
11.11. 20:45,ENG LTR,FC Bromley,1:2,AFC Wimbledon,England Football League Trophy
11.11. 20:45,ENG LTR,Crawley Town,1:2,Peterborough Utd.,England Football League Trophy
11.11. 20:45,SCO CC,FC Alloa Athletic,4:4,FC Clyde,Schottland Challenge Cup
11.11. 20:45,SCO CC,FC Dumbarton,abgesagt,FC Stenhousemuir,Schottland Challenge Cup
11.11. 20:45,SCO CC,Stirling Albion,2:1,Peterhead FC,Schottland Challenge Cup
11.11. 21:00,ENG LTR,Tranmere Rovers,2:1,FC Blackpool,England Football League Trophy
11.11. 21:00,CL FR,St. Pölten (F)+3,3:6,Chelsea FC Frauen,UEFA Champions League Frauen
11.11. 21:00,CL FR,Lyon Frauen FRA,3:1,Wolfsburg (F) GER,UEFA Champions League Frauen
11.11. 21:00,CL FR,Real Madrid (F ESP,1:1,FC Paris (F) FRA,UEFA Champions League Frauen
12.11. 01:00,NHL,Boston Bruins,5:3,Toronto Maple L.,USA NHL
12.11. 01:00,NHL,Ottawa Senators,2:2,Dallas Stars,USA NHL
12.11. 01:00,NHL,Carolina Hurric.,1:4,Washington Cap.,USA NHL
12.11. 01:00,NHL,Montreal Canad.,1:5,Los Angeles Kings,USA NHL
12.11. 02:00,NHL,Minnesota Wild,1:1,San Jose Sharks,USA NHL
12.11. 02:00,NHL,St. Louis Blues,3:2,Calgary Flames,USA NHL
12.11. 03:30,NHL,Colorado Avalan.,4:1,Anaheim Ducks,USA NHL
