Date,League,Team 1,Score,Team 2,League Name
11.06. 18:00,FIN 3,PPJ Helsinki,,Atlantis FC,Finnland Ykkonen
11.06. 19:00,SWE 2,Helsingborgs IF,,Landskrona BoIS,Schweden Superettan
11.06. 20:00,BB ESP,Barcelona Basket,,CB 1939 Canarias Teneriffa,Spanien ACB
11.06. 20:00,BB ITA,Olimpia Milano,,Venezia,Italien A1
11.06. 21:00,WM,Mexiko,,Südafrika,Weltmeisterschaft
11.06. 21:00,WM,Mexiko,,Südafrika+1,Weltmeisterschaft
11.06. 21:00,WM,Mexiko,,Südafrika+2,Weltmeisterschaft
11.06. 21:00,WM,1.HZ Mexiko,,1.HZ Südafrika,Weltmeisterschaft
11.06. 21:00,WM,HZ/T Mexiko,,HZ/T Südafrika,Weltmeisterschaft
12.06. 02:15,NHL,Carolina Hurricanes,,Vegas Golden Knights,USA NHL
12.06. 04:00,WM,Südkorea,,Tschechien,Weltmeisterschaft
12.06. 04:00,WM,Südkorea,,Tschechien+1,Weltmeisterschaft
12.06. 04:00,WM,Südkorea+1,,Tschechien,Weltmeisterschaft
12.06. 20:45,IRL 1,Saint Patricks Athletic FC,,FC Drogheda United,Irland Premier Division
12.06. 20:45,IRL 1,FC Galway United,,FC Dundalk,Irland Premier Division
12.06. 20:45,IRL 1,FC Derry City,,FC Bohemians Dublin,Irland Premier Division
12.06. 21:00,WM,Kanada,,Bosnien-Herzegowina,Weltmeisterschaft
12.06. 21:00,WM,Kanada,,Bosnien-Herzegowina+1,Weltmeisterschaft
12.06. 21:00,WM,1.HZ Kanada,,1.HZ Bosnien-Herzegowina,Weltmeisterschaft
12.06. 21:00,IRL 1,FC Shelbourne Dublin,,FC Shamrock Rovers,Irland Premier Division
13.06. 03:00,WM,USA,,Paraguay,Weltmeisterschaft
13.06. 03:00,WM,USA,,Paraguay+1,Weltmeisterschaft
13.06. 03:00,WM,1.HZ USA,,1.HZ Paraguay,Weltmeisterschaft
13.06. 14:00,FIN 1,Tampereen Ilves,,Turun Palloseura,Finnland Veikkausliiga
13.06. 14:00,FIN 1,FC Inter Turku,,AC Oulu,Finnland Veikkausliiga
13.06. 16:00,FIN 1,Vaasa PS,,Kuopio PS,Finnland Veikkausliiga
13.06. 16:00,FIN 1,FF Jaro,,HJK Helsinki,Finnland Veikkausliiga
13.06. 21:00,WM,Katar,,Schweiz,Weltmeisterschaft
13.06. 21:00,WM,Katar+1,,Schweiz,Weltmeisterschaft
13.06. 21:00,WM,Katar+2,,Schweiz,Weltmeisterschaft
14.06. 00:00,WM,Brasilien,,Marokko,Weltmeisterschaft
14.06. 00:00,WM,Brasilien,,Marokko+1,Weltmeisterschaft
14.06. 00:00,WM,Brasilien,,Marokko+2,Weltmeisterschaft
14.06. 00:00,WM,1.HZ Brasilien,,1.HZ Marokko,Weltmeisterschaft
14.06. 03:00,WM,Haiti,,Schottland,Weltmeisterschaft
14.06. 03:00,WM,Haiti+1,,Schottland,Weltmeisterschaft
14.06. 06:00,WM,Australien,,Türkei,Weltmeisterschaft
14.06. 06:00,WM,Australien+1,,Türkei,Weltmeisterschaft
14.06. 06:00,WM,1.HZ Australien,,1.HZ Türkei,Weltmeisterschaft
14.06. 15:00,SWE 2,Ljungskile SK,,Östersunds FK,Schweden Superettan
14.06. 16:00,NOR 2,Stabaek IF,,Egersunds IK,Norwegen Adeccoligaen
14.06. 16:00,NOR 2,Sogndal Fotball,,Moss FK,Norwegen Adeccoligaen
14.06. 16:00,NOR 2,Sandnes Ulf,,Strömmen IF,Norwegen Adeccoligaen
14.06. 16:00,NOR 2,FK Lyn,,Bryne FK,Norwegen Adeccoligaen
14.06. 16:00,NOR 2,Hödd IL,,Kongsvinger IL,Norwegen Adeccoligaen
14.06. 16:00,NOR 2,FK Haugesund,,Ranheim IL,Norwegen Adeccoligaen
14.06. 19:00,WM,Deutschland,,Curacao+2,Weltmeisterschaft
14.06. 19:00,WM,Deutschland,,Curacao+3,Weltmeisterschaft
14.06. 19:00,WM,HZ/T Deutschland,,HZ/T Curacao,Weltmeisterschaft
14.06. 22:00,WM,Niederlande,,Japan,Weltmeisterschaft
14.06. 22:00,WM,Niederlande,,Japan+1,Weltmeisterschaft
14.06. 22:00,WM,1.HZ Niederlande,,1.HZ Japan,Weltmeisterschaft
14.06. 22:00,WM,HZ/T Niederlande,,HZ/T Japan,Weltmeisterschaft
15.06. 01:00,WM,Elfenbeinküste,,Ecuador,Weltmeisterschaft
15.06. 01:00,WM,Elfenbeinküste,,Ecuador+1,Weltmeisterschaft
15.06. 01:00,WM,Elfenbeinküste+1,,Ecuador,Weltmeisterschaft
15.06. 04:00,WM,Schweden,,Tunesien,Weltmeisterschaft
15.06. 04:00,WM,Schweden,,Tunesien+1,Weltmeisterschaft
15.06. 04:00,WM,1.HZ Schweden,,1.HZ Tunesien,Weltmeisterschaft
15.06. 17:30,FIN 2,SJK Akatemia,,FC Haka Valkeakoski,Finnland Ykkosliiga
15.06. 18:00,WM,Spanien,,Kap Verde+1,Weltmeisterschaft
15.06. 18:00,WM,Spanien,,Kap Verde+2,Weltmeisterschaft
15.06. 18:00,WM,HZ/T Spanien,,HZ/T Kap Verde,Weltmeisterschaft
15.06. 19:00,SWE 2,GIF Sundsvall,,Östers IF,Schweden Superettan
15.06. 19:05,SWE 2,IFK Norrköping,,Varbergs BoIS,Schweden Superettan
15.06. 20:00,ISL 1,KA Akureyri,,Fram Reykjavik,Island Bestadeild
15.06. 21:00,WM,Belgien,,Ägypten,Weltmeisterschaft
15.06. 21:00,WM,Belgien,,Ägypten+1,Weltmeisterschaft
15.06. 21:00,WM,1.HZ Belgien,,1.HZ Ägypten,Weltmeisterschaft
15.06. 21:00,WM,HZ/T Belgien,,HZ/T Ägypten,Weltmeisterschaft
16.06. 00:00,WM,Saudi Arabien,,Uruguay,Weltmeisterschaft
16.06. 00:00,WM,Saudi Arabien+1,,Uruguay,Weltmeisterschaft
