Date,League,Team 1,Score,Team 2,League Name
14.06. 13:00,INT FS,Südkorea,4:1,Ägypten,Internationale Freundschaftsspiele
14.06. 17:00,FIN CUP,HJS Akatemia,0:1,Haka Valkeakoski,Finnland Cup
14.06. 17:00,AFR CQ,Kirgisistan,0:0,Tadschikistan,"Africa Cup, Qualifikation"
14.06. 17:00,AFR CQ,Indien,4:0,Hong Kong,"Africa Cup, Qualifikation"
14.06. 17:30,FIN CUP,Järvenpään PS,2:1,AC Oulu,Finnland Cup
14.06. 17:30,AFR CQ,Usbekistan,2:0,Thailand,"Africa Cup, Qualifikation"
14.06. 17:30,U21 EMQ,Italien U21,4:1,Irland U21,U21 EM Qualifikation
14.06. 17:30,U21 EMQ,Italien U21,4:2,Irland U21+1,U21 EM Qualifikation
14.06. 18:00,U21 EMQ,Dänemark U21,3:2,Türkei U21,U21 EM Qualifikation
14.06. 18:00,U21 EMQ,Dänemark U21,3:3,Türkei U21+1,U21 EM Qualifikation
14.06. 18:00,U21 EMQ,Norwegen U21,2:1,Aserbaidschan U21,U21 EM Qualifikation
14.06. 18:00,U21 EMQ,Wales U21,2:5,Gibraltar U21+5,U21 EM Qualifikation
14.06. 18:00,UEFA NL,Armenien,1:4,Schottland,UEFA Nations League
14.06. 18:00,UEFA NL,Armenien+1,2:4,Schottland,UEFA Nations League
14.06. 18:00,UEFA NL,Moldawien,2:1,Andorra,UEFA Nations League
14.06. 18:00,UEFA NL,Moldawien,2:2,Andorra+1,UEFA Nations League
14.06. 18:15,AFR CQ,Jordanien*,3:0,Kuwait,"Africa Cup, Qualifikation"
14.06. 19:00,NOR CUP,Eidsvold TF,3:2,Kongsvinger IL,Norwegen Cup
14.06. 19:00,SWE 3N,Taby FK,0:2,Örebro Syrianska,Schweden Div 1 Norra
14.06. 19:00,BB GER,Bayern München,58:71,Alba Berlin,Deutschland BBL
14.06. 20:00,WM Q PO,Costa Rica*,1:0,Neuseeland,WM Qualifikation Interkontinental-Playoffs
14.06. 20:00,WM Q PO,Costa Rica,1:1,Neuseeland+1,WM Qualifikation Interkontinental-Playoffs
14.06. 20:00,ARG 1,CA San Lorenzo,3:3,Arsenal de Sarandi,Argentinien Primera Division
14.06. 20:00,BB GRE,BC Panathinaikos,72:78,Olympiakos Piräus,Griechenland A1
14.06. 20:30,BB ITA,Olimpia Milano,77:62,Bologna,Italien A1
14.06. 20:45,UEFA NL,Deutschland,5:2,Italien,UEFA Nations League
14.06. 20:45,UEFA NL,Deutschland,5:3,Italien+1,UEFA Nations League
14.06. 20:45,UEFA NL,England,0:4,Ungarn,UEFA Nations League
14.06. 20:45,UEFA NL,England,0:5,Ungarn+1,UEFA Nations League
14.06. 20:45,UEFA NL,England,0:6,Ungarn+2,UEFA Nations League
14.06. 20:45,UEFA NL,Polen,0:1,Belgien,UEFA Nations League
14.06. 20:45,UEFA NL,Polen+1,1:1,Belgien,UEFA Nations League
14.06. 20:45,UEFA NL,Niederlande,3:2,Wales,UEFA Nations League
14.06. 20:45,UEFA NL,Niederlande,3:3,Wales+1,UEFA Nations League
14.06. 20:45,UEFA NL,Ukraine*,1:1,Irland,UEFA Nations League
14.06. 20:45,UEFA NL,Ukraine,1:2,Irland+1,UEFA Nations League
14.06. 20:45,UEFA NL,Türkei,2:0,Litauen,UEFA Nations League
14.06. 20:45,UEFA NL,Türkei,2:2,Litauen+2,UEFA Nations League
14.06. 20:45,UEFA NL,Türkei,2:3,Litauen+3,UEFA Nations League
14.06. 20:45,UEFA NL,Rumänien,0:3,Montenegro,UEFA Nations League
14.06. 20:45,UEFA NL,Rumänien,0:4,Montenegro+1,UEFA Nations League
14.06. 20:45,UEFA NL,Bosnien-Herzegowi.,3:2,Finnland,UEFA Nations League
14.06. 20:45,UEFA NL,Bosnien-Herzegowi.,3:3,Finnland+1,UEFA Nations League
14.06. 20:45,UEFA NL,Luxemburg,2:2,Färöer Inseln,UEFA Nations League
14.06. 20:45,UEFA NL,Liechtenstein,0:2,Lettland,UEFA Nations League
14.06. 22:00,CCC NL,Bonaire,2:0,US Virgin Islands,CONCACAF Nations League
14.06. 23:00,PAR 1,Sportivo Ameliano,1:4,Olimpia Asuncion,Paraguay Primera Division
15.06. 00:00,CCC NL,Franz.-Guayana,1:0,Belize,CONCACAF Nations League
15.06. 00:00,ARG 1,CA Talleres,0:1,Newell's Old B.,Argentinien Primera Division
15.06. 00:00,ARG 1,Patronato Parana,1:0,CA Aldosivi,Argentinien Primera Division
15.06. 00:00,BRA 2,EC Bahia BA,0:1,Chapecoense SC,Brasilien Brasilero Serie B
15.06. 00:00,CCC NL,Haiti,6:0,Guyana,CONCACAF Nations League
15.06. 01:15,PAR 1,Club Cerro Porteno,1:0,Resistencia FC,Paraguay Primera Division
15.06. 02:00,CCC NL,Jamaika,1:1,Mexiko,CONCACAF Nations League
15.06. 02:00,CCC NL,Jamaika+1,2:1,Mexiko,CONCACAF Nations League
15.06. 02:30,ARG 1,Estudiantes LP,2:1,CA Sarmiento,Argentinien Primera Division
15.06. 02:30,ARG 1,Defensa y Justicia,1:1,CA Huracan,Argentinien Primera Division
15.06. 02:30,BRA 1,EC Juventude RS,1:2,Santos SP,Brasilien Brasilero Serie A
15.06. 04:00,CCC NL,El Salvador,1:1,USA,CONCACAF Nations League
15.06. 04:00,CCC NL,El Salvador+1,2:1,USA,CONCACAF Nations League
15.06. 04:30,USA MLS,Seattle Sounders,4:0,Vancouver W'caps,USA Major League Soccer
15.06. 11:00,JPN 2,Iwate Grulla Morio,3:3,Montedio Yamagata,Japan J-League 2
