Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,11.12.,13:45,SUZ CUP,Malaysia,2:2,Vietnam,AFF Suzuki Cup
002,11.12.,14:30,ITA C1B,AS Gubbio,2:0,Vicenza Calcio,"Italien Lega Pro Prima Divisione, Girone B"
003,11.12.,17:00,EH CL,HC Pilsen CZE,1:1,Skelleftea AIK SWE,Champions Hockey League
004,11.12.,17:30,KHL,Jokerit Helsinki,2:3,Salavat Yulaev Ufa,Kontinental Hockey League
005,11.12.,17:30,KHL,Dynamo Moskau,3:1,Sev. Cherepovets,Kontinental Hockey League
006,11.12.,17:30,EH FIN,Pelicans Lahti,2:4,Lukko Rauma,Finnland SM-Liiga
007,11.12.,18:00,EH CL,Frölunda HC SWE,6:1,Kometa Brünn CZE,Champions Hockey League
008,11.12.,18:00,EH CL,Malmö IF SWE,5:4,EHC München GER,Champions Hockey League
009,11.12.,18:00,EH CL,Kärpät Oulu FIN,1:1,EC RB Salzburg AUT,Champions Hockey League
010,11.12.,18:00,HB EMDA,Spanien,25:27,Rumänien,Europameisterschaft Frauen
011,11.12.,18:55,CL,FC Schalke 04 GER,1:0,Lok Moskau RUS,UEFA Champions League
012,11.12.,18:55,CL,Galatasaray TUR,2:3,FC Porto POR,UEFA Champions League
013,11.12.,19:00,ITA C1B,Rimini Calcio,1:0,SSD Monza 1912,"Italien Lega Pro Prima Divisione, Girone B"
014,11.12.,19:00,EHU20WM,U20 Lettland,4:1,U20 Österreich,Weltmeisterschaft U20
015,11.12.,20:00,ENG LTR,FC Rochdale,2:0,Oldham Athletic,England Football League Trophy
016,11.12.,20:30,ITA C1B,Fano Calcio,0:0,Vis Pesaro 1898,"Italien Lega Pro Prima Divisione, Girone B"
017,11.12.,20:30,ITA C1B,AC Feralpisalo,0:1,Imolese Calcio,"Italien Lega Pro Prima Divisione, Girone B"
018,11.12.,20:30,ITA C1B,US Fermana,1:0,Triestina Calcio,"Italien Lega Pro Prima Divisione, Girone B"
019,11.12.,20:30,ITA C1B,Giana Erminio,0:1,AC Renate,"Italien Lega Pro Prima Divisione, Girone B"
020,11.12.,20:30,ITA C1B,Ravenna Calcio,0:1,V.Vecomp Verona,"Italien Lega Pro Prima Divisione, Girone B"
021,11.12.,20:30,ITA C1B,Teramo Calcio,0:2,Pordenone Calcio,"Italien Lega Pro Prima Divisione, Girone B"
022,11.12.,20:30,BB EC,Arka Gdynia POL,64:76,Alba Berlin GER,Eurocup
023,11.12.,20:30,BB EC,Valencia Bask. ESP,97:89,Zenit Petersb. RUS,Eurocup
024,11.12.,20:30,BB EC,Asvel Lyon Vil FRA,75:78,Partizan Belgr SRB,Eurocup
025,11.12.,20:45,ENG 1,FC Portsmouth,1:2,Charlton Athletic,England League One
026,11.12.,20:45,ENG FA,AFC Sunderland,0:1,FC Walsall,England FA Cup
027,11.12.,20:45,ENG FA,Newport County,4:0,Wrexham FC,England FA Cup
028,11.12.,20:45,ENG FA,Bradford City FC,4:4,Peterborough Utd.,England FA Cup
029,11.12.,20:45,SCO PS,FC Aberdeen,3:2,FC Livingston,Schottland Premiership
030,11.12.,20:45,NIRL LC,Crusaders Belfast,0:1,Ballymena United,Nordirland CO-Operative Insurance Cup
031,11.12.,20:45,NIRL LC,FC Dungannon,0:0,FC Linfield,Nordirland CO-Operative Insurance Cup
032,11.12.,21:00,CL,FC Barcelona ESP,1:1,Tottenham ENG,UEFA Champions League
033,11.12.,21:00,CL,Inter Mailand ITA,1:1,PSV Eindhoven NED,UEFA Champions League
034,11.12.,21:00,CL,Club Brügge BEL,0:0,Atl. Madrid ESP,UEFA Champions League
035,11.12.,21:00,CL,AS Monaco FRA,0:2,Bor. Dortmund GER,UEFA Champions League
036,11.12.,21:00,CL,FC Liverpool ENG,1:0,SSC Napoli ITA,UEFA Champions League
037,11.12.,21:00,CL,FC Liverpool,1:1,SSC Napoli+1,UEFA Champions League
038,11.12.,21:00,CL,Roter Stern B. SRB,1:4,Paris SG FRA,UEFA Champions League
039,11.12.,21:00,HB EMDA,Niederlande,16:29,Norwegen,Europameisterschaft Frauen
040,12.12.,02:30,NBA,San Antonio Spurs,111:86,Phoenix Suns,USA NBA
041,12.12.,12:30,KHL,HC Red Star Kunlun,1:4,HC Barys,Kontinental Hockey League
042,12.12.,14:30,ITA C1A,AC Gozzano,1:1,Carrarese Calcio,"Italien Lega Pro Prima Divisione, Girone A"
043,12.12.,14:30,ITA C1A,Virtus Entella,0:1,Pro Patria,"Italien Lega Pro Prima Divisione, Girone A"
044,12.12.,14:30,ITA C1C,Juve Stabia,4:0,Sicula Leonzio,"Italien, Lega Pro Prima Divisione, Girone C"
