Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,24.12.,14:30,KHL,HC Barys,4:3,A. Vladivostok,Kontinental Hockey League
002,24.12.,15:00,KHL,Salavat Yulaev Ufa,3:3,Lok. Jaroslawl,Kontinental Hockey League
003,24.12.,15:00,KHL,HK Dinamo Minsk,3:2,AK Bars Kasan,Kontinental Hockey League
004,24.12.,17:00,TUR 2,Altinordu,0:0,Giresunspor,Türkei TFF 1. Lig
005,24.12.,17:30,KHL,Avangard Omsk,3:1,Sibir Nowosibirsk,Kontinental Hockey League
006,24.12.,17:30,KHL,HC Sochi,5:2,Torp. Nowgorod,Kontinental Hockey League
007,24.12.,17:30,KHL,HK CSKA Moskau,3:3,Neftekhimik,Kontinental Hockey League
008,24.12.,18:00,TUR 1,Antalyaspor,0:0,Fenerbahce,Türkei Süper Lig
009,24.12.,18:00,TUR 1,Akhisarspor,0:0,Konyaspor,Türkei Süper Lig
010,24.12.,18:40,ISR 2,H. Petach Tikva,2:2,Hapoel Bnei Lod,Israel National League
011,25.12.,02:15,NFL,Las Vegas Raiders,27:14,Denver Broncos,USA NFL
012,25.12.,10:00,KHL,Amur Chabarowsk,2:1,HC Vityaz Podolsk,Kontinental Hockey League
013,25.12.,12:30,KHL,HC Red Star Kunlun,3:5,SKA St. Petersburg,Kontinental Hockey League
014,25.12.,18:00,NBA,New York Knicks,95:109,Milwaukee Bucks,USA NBA
015,25.12.,18:00,ISR 2,Sectzya Nes Ziona,0:1,M. Ahi Nazareth,Israel National League
016,25.12.,18:00,ISR 2,Hapoel Kfar Saba,1:1,Hapoel Afula FC,Israel National League
017,25.12.,18:00,ISR 2,Hapoel Akko,5:1,Hapoel Marmorek FC,Israel National League
018,25.12.,18:00,ISR 2,Hap. Rishon LeZion,1:1,Hapoel Ramat Gan,Israel National League
019,25.12.,18:00,ISR 2,Hapoel Nof HaGalil,0:0,I. Ramat Hasharon,Israel National League
020,25.12.,18:00,ISR 2,Hapoel Iksal Imad,2:0,Hapoel Ashkelon,Israel National League
021,25.12.,18:30,ISR 1,Macc. Petach Tikva,1:1,Bnei Yehuda,Israel Winner League
022,25.12.,18:30,ISR 1,Bnei Sakhnin FC,0:2,Maccabi Netanya,Israel Winner League
023,25.12.,20:00,ISR 1,Maccabi Tel Aviv,3:0,Hap. Beer Sheva,Israel Winner League
024,25.12.,21:00,NBA,Houston Rockets,113:109,Oklahoma City Th.,USA NBA
025,25.12.,23:30,NBA,Boston Celtics,108:108,Philadelphia 76ers,USA NBA
026,26.12.,04:30,NBA,Utah Jazz,117:96,Portland T.,USA NBA
027,26.12.,12:30,ITA A,Frosinone Calcio,0:0,AC Milan,Italien Serie A
028,26.12.,13:30,ENG PL,FC Fulham,1:1,Wolverhampton,England Premier League
