Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,05.07.,16:00,FS,Austria Wien AUT*,2:1,Banik Ostrava CZE,Freundschaftsspiele International (Klub)
002,05.07.,17:00,FS,Shakhtar Don. UKR*,2:1,FC Kopenhagen DEN,Freundschaftsspiele International (Klub)
003,05.07.,17:00,FS,LASK Linz AUT*,1:0,Sparta Prag CZE,Freundschaftsspiele International (Klub)
004,05.07.,17:00,FS,Grazer AK AUT*,2:0,Middlesbrough ENG,Freundschaftsspiele International (Klub)
005,05.07.,17:30,FIN 1,FC Inter Turku,2:0,FC Lahti,Finnland Veikkausliiga
006,05.07.,17:45,BLR 1,FC Dinamo Minsk,1:2,FC BATE Borisov,Weißrussland Premier League
007,05.07.,18:00,AFR CUP,Marokko,1:1,Benin,Afrika Cup
008,05.07.,18:45,LAT 1,FK Liepaja,2:2,Spartaks Jurmala,Lettland LMT Virsliga
009,05.07.,18:30,FS,A. Klagenfurt AUT*,0:1,Wolfsberger AC AUT,Freundschaftsspiele International (Klub)
010,05.07.,19:00,NOR 1,SK Brann,0:0,Mjöndalen,Norwegen Tippeligaen
011,05.07.,19:00,NOR 1,Tromsö IL,2:0,Sarpsborg 08,Norwegen Tippeligaen
012,05.07.,19:00,NOR 1,Odds BK,2:2,Molde FK,Norwegen Tippeligaen
013,05.07.,19:00,NOR 1,Strömsgodset,0:2,Stabaek IF,Norwegen Tippeligaen
014,05.07.,19:00,NOR 1,Valerenga IF,6:0,Bodö Glimt,Norwegen Tippeligaen
015,05.07.,19:00,NOR 1,Kristiansund BK,5:2,Lilleström SK,Norwegen Tippeligaen
016,05.07.,19:45,BLR 1,FC Torpedo Zhodino,1:0,FK Dnyapro Mogilev,Weißrussland Premier League
017,05.07.,20:45,IRL 2,FC Drogheda United,4:2,Cobh Ramblers,Irland First Division
018,05.07.,20:45,IRL 2,FC Athlone Town,3:1,Wexford Youths,Irland First Division
019,05.07.,20:45,IRL 2,FC Galway United,0:3,Shelbourne Dublin,Irland First Division
020,05.07.,20:45,IRL 2,Cabinteely FC,2:1,FC Bray Wanderers,Irland First Division
021,05.07.,20:45,IRL 2,FC Limerick 37,3:1,FC Longford Town,Irland First Division
022,05.07.,20:45,IRL 1,FC Derry City,2:2,FC Dundalk,Irland Premier Division
023,05.07.,20:45,IRL 1,UC Dublin,1:0,FC Finn Harps,Irland Premier Division
024,05.07.,20:45,IRL 1,Waterford United,1:2,St Patrick's,Irland Premier Division
