Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,23.07.,12:30,FS,FC Barcelona ESP*,1:2,FC Chelsea ENG,Freundschaftsspiele International (Klub)
002,23.07.,13:00,TEN ATP,"Thiem, Dominic",2:0,"Cuevas, Pablo",Tennis ATP
003,23.07.,15:30,TEN ATP,"Jarry, Nicolas",0:2,"Zverev, Alexander",Tennis ATP
004,23.07.,17:00,EL,Ararat-Arm. ARM*,2:0,Lincoln FC GIB,UEFA Europa League
005,23.07.,17:45,EL,HB Torshavn FRO,2:2,FC Linfield NIR,UEFA Europa League
006,23.07.,17:55,EL,Shk.Tetovo MKD*,1:2,F91 Dudelange LUX,UEFA Europa League
007,23.07.,19:00,SWE 2,Jönköpings Södra,2:1,Vasteraas SK,Schweden Superettan
008,23.07.,19:00,FS,Twente Ensch. NED,1:1,FC Schalke 04 GER,Freundschaftsspiele International (Klub)
009,23.07.,19:00,CL Q,Vikt. Pilsen CZE,0:0,Olympiakos P. GRE,"UEFA Champions League, Qualifikation"
010,23.07.,19:30,CL Q,Sab.Tiflis GEO*,0:2,Dinamo Zagreb CRO,"UEFA Champions League, Qualifikation"
011,23.07.,20:00,CL Q,PSV Eindhoven NED,3:2,FC Basel SUI,"UEFA Champions League, Qualifikation"
012,23.07.,20:00,CL Q,The New Saints WAL,0:2,FC Kopenhagen DEN,"UEFA Champions League, Qualifikation"
013,23.07.,20:00,EL,FC Santa Colo AND*,0:0,FC Astana KAZ,UEFA Europa League
014,23.07.,20:15,CL Q,Sutj. Niksic MNE,0:1,APOEL Nikosia CYP,"UEFA Champions League, Qualifikation"
015,23.07.,20:30,EL,SP Tre Penne SMR*,0:5,Suduva Marija. LTU,UEFA Europa League
016,23.07.,20:45,SCO LC,Dundee United,0:2,FC East Fife,Schottland League Cup
017,23.07.,20:45,SCO LC,Hibernian FC,3:0,FC Arbroath,Schottland League Cup
018,23.07.,20:45,SCO LC,FC Alloa Athletic,2:1,Stirling Albion,Schottland League Cup
019,23.07.,20:45,SCO LC,FC Raith Rovers,3:1,Peterhead FC,Schottland League Cup
020,23.07.,20:45,SCO LC,Inverness CT,3:2,Cove Rangers,Schottland League Cup
021,23.07.,20:45,SCO LC,Annan Athletic,0:5,Greenock Morton,Schottland League Cup
