Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,19.11.,11:25,INT FS,Japan,1:4,Venezuela,Internationale Freundschaftsspiele
002,19.11.,14:30,INT FS,Brasilien*,3:0,Südkorea,Internationale Freundschaftsspiele
003,19.11.,14:30,U19 EMQ,Irland U19*,0:2,Österreich U19,"U19 EM, Qualifikation"
004,19.11.,17:00,U21 EMQ,Wales U21,1:0,Bosnien-Herz. U21,U21 EM Qualifikation
005,19.11.,17:30,INT FS,Saudi Arabien,0:0,Paraguay,Internationale Freundschaftsspiele
006,19.11.,18:00,INT FS,Montenegro,2:0,Weißrussland,Internationale Freundschaftsspiele
007,19.11.,18:00,INT FS,Kroatien,2:1,Georgien,Internationale Freundschaftsspiele
008,19.11.,20:00,EH CL,Djurgardens IF SWE,4:1,Skelleftea AIK SWE,Champions Hockey League
009,19.11.,18:00,EH CL,Lulea Hockey SWE,4:2,SC Bern SUI,Champions Hockey League
010,19.11.,18:00,EH CL,Frölunda HC SWE,8:2,Färjestads BK SWE,Champions Hockey League
011,19.11.,18:30,BB EL,BC Zalgiris LTU,85:86,Panathinaikos GRE,Euroleague
012,19.11.,18:30,U21 EMQ,Norwegen U21,2:3,Portugal U21,U21 EM Qualifikation
013,19.11.,18:30,U21 EMQ,Israel U21,1:1,Spanien U21,U21 EM Qualifikation
014,19.11.,18:30,U21 EMQ,Nordirland U21,0:0,Rumänien U21,U21 EM Qualifikation
015,19.11.,19:00,U21 EMQ,Schweiz U21,3:1,Frankreich U21,U21 EM Qualifikation
016,19.11.,19:00,U21 EMQ,Serbien U21,0:2,Russland U21,U21 EM Qualifikation
017,19.11.,19:00,EH CL,Adler Mannheim GER,1:1,Mountfield HK CZE,Champions Hockey League
018,19.11.,19:15,EH AUT,Black Wings Linz,5:1,Villacher SV,Österreich Eishockey Liga
019,19.11.,19:45,EH CL,EHC Biel SUI,1:1,Augsburger P. GER,Champions Hockey League
020,19.11.,19:45,EH CL,EV Zug SUI,3:1,Tappara Tamper FIN,Champions Hockey League
021,19.11.,19:45,EH CL,HC Lausanne SUI,3:4,HC Pilsen CZE,Champions Hockey League
022,19.11.,19:45,EH SUI,HC Davos,3:2,HC Lugano,Schweiz National League A
023,19.11.,19:45,EH SUI,HC Servette Genf,6:2,Rapperswil Lakers,Schweiz National League A
024,19.11.,20:00,BB EL,Alba Berlin GER,93:80,Roter Stern SRB,Euroleague
025,19.11.,20:30,BB EL,Bayern München GER,85:82,Olympiakos P. GRE,Euroleague
026,19.11.,20:45,EM Q,Niederlande,5:5,Estland+5,Europameisterschaft Qualifikation
027,19.11.,20:45,EM Q,Deutschland,6:1,Nordirland,Europameisterschaft Qualifikation
028,19.11.,20:45,EM Q,Deutschland,6:3,Nordirland+2,Europameisterschaft Qualifikation
029,19.11.,20:45,EM Q,Wales,2:0,Ungarn,Europameisterschaft Qualifikation
030,19.11.,20:45,EM Q,Slowakei,2:0,Aserbaidschan,Europameisterschaft Qualifikation
031,19.11.,20:45,EM Q,Polen,3:2,Slowenien,Europameisterschaft Qualifikation
032,19.11.,20:45,EM Q,Lettland,1:0,Österreich,Europameisterschaft Qualifikation
033,19.11.,20:45,EM Q,Lettland+1,2:0,Österreich,Europameisterschaft Qualifikation
034,19.11.,20:45,EM Q,Lettland+2,3:0,Österreich,Europameisterschaft Qualifikation
035,19.11.,20:45,EM Q,Nordmazedonien,1:0,Israel,Europameisterschaft Qualifikation
036,19.11.,20:45,EM Q,Belgien,6:5,Zypern+4,Europameisterschaft Qualifikation
037,19.11.,20:45,EM Q,San Marino+4,4:5,Russland,Europameisterschaft Qualifikation
038,19.11.,20:45,EM Q,Schottland,3:1,Kasachstan,Europameisterschaft Qualifikation
039,19.11.,20:45,ENG FA,Doncaster Rovers,2:0,AFC Wimbledon,England FA Cup
040,19.11.,20:45,ENG FA,Swindon Town,0:1,Cheltenham Town,England FA Cup
041,19.11.,20:45,ENG FA,Eastleigh FC,3:0,Stourbridge FC,England FA Cup
042,19.11.,20:45,ENG FA,Bradford City FC,0:1,Shrewsbury Town,England FA Cup
043,19.11.,20:45,ENG FA,FC Gillingham,0:0,AFC Sunderland,England FA Cup
044,19.11.,20:45,ENG FA,Peterborough Utd.,2:0,FC Stevenage,England FA Cup
045,19.11.,20:45,ENG FA,Burton Albion,4:1,Salford City,England FA Cup
046,19.11.,20:45,ENG FA,Exeter City,1:0,Cambridge United,England FA Cup
047,19.11.,20:45,ENG FA,FC Rochdale,1:0,Wrexham FC,England FA Cup
048,19.11.,20:45,ENG FA,FC Bromley,0:1,Bristol Rovers,England FA Cup
049,19.11.,20:45,BB EL,Asvel Lyon Vil FRA,84:90,Efes Istanbul TUR,Euroleague
050,19.11.,20:45,BB EL,O.Milano ITA,92:88,M.Tel Aviv ISR,Euroleague
051,19.11.,21:00,BB EL,Real Madrid BC ESP,104:76,Khimki Moskau RUS,Euroleague
052,19.11.,21:00,BB EL,Valencia Bask. ESP,94:90,Zenit Petersb. RUS,Euroleague
053,19.11.,21:00,U21 EMQ,Irland U21,4:1,Schweden U21,U21 EM Qualifikation
054,19.11.,23:15,BRA 2,Criciuma EC SC,1:1,Parana Clube PR,Brasilien Brasilero Serie B
055,20.11.,01:30,BRA 2,Operario Ferroviar,1:2,EC Vitoria BA,Brasilien Brasilero Serie B
056,20.11.,02:00,INT FS,Ekuador*,0:1,Kolumbien,Internationale Freundschaftsspiele
057,20.11.,13:00,ROU 2,Rapid Bukarest,2:0,UTA Arad,"Rumänien, Liga 2"
058,20.11.,13:30,KHL,Sibir Nowosibirsk,1:4,AK Bars Kasan,Kontinental Hockey League
059,20.11.,15:00,KHL,Salavat Yulaev Ufa,1:0,HC Red Star Kunlun,Kontinental Hockey League
060,20.11.,17:30,KHL,HC Sochi,4:2,Sev. Cherepovets,Kontinental Hockey League
061,20.11.,17:30,KHL,HC Vityaz Podolsk,2:2,HK CSKA Moskau,Kontinental Hockey League
062,20.11.,17:30,KHL,Spartak Moskau,3:3,Lok. Jaroslawl,Kontinental Hockey League
063,20.11.,17:30,EH FIN,Ässät Pori,1:5,Kookoo,Finnland SM-Liiga
064,20.11.,17:30,EH FIN,SaiPa Lappeenr.,4:2,Pelicans Lahti,Finnland SM-Liiga
065,20.11.,17:30,EH FIN,HIFK Helsinki,4:4,Lukko Rauma,Finnland SM-Liiga
066,20.11.,17:30,EH FIN,HC TPS Turku,2:0,Vaasan Sport,Finnland SM-Liiga
067,20.11.,17:30,EH FIN,Ilves Tampere,1:3,JYP Jyväskylä,Finnland SM-Liiga
068,20.11.,18:30,ROU 2,AFC Turris-Oltul,1:1,Petrolul Ploiesti,"Rumänien, Liga 2"
069,20.11.,18:30,KHL,HK Dinamo Riga,3:3,Dynamo Moskau,Kontinental Hockey League
070,20.11.,20:00,EH CL,EHC München GER,6:0,Yunost Minsk BLR,Champions Hockey League
071,20.11.,20:15,HB AUT,Bregenz Handball,18:23,Alpla HC Hard,Österreich HLA
072,20.11.,20:45,ENG FA,Lincoln City,0:1,Ipswich Town,England FA Cup
073,20.11.,20:45,ENG FA,Wycombe Wanderers,1:1,Tranmere Rovers,England FA Cup
074,20.11.,20:45,ENG FA,Newport County,2:0,Grimsby Town,England FA Cup
075,20.11.,20:45,ENG FA,FC Darlington,0:1,FC Walsall,England FA Cup
076,20.11.,21:00,BB EL,Baskonia G. ESP,80:70,ZSKA Moskau RUS,Euroleague
077,20.11.,21:00,BB EL,FC Barcelona ESP,89:63,Fenerbahce TUR,Euroleague
078,20.11.,21:00,VEN 1,Deportivo Tachira,4:0,FC Metropolitanos,Venezuela Primera Divison
079,20.11.,23:15,BRA 2,Vila Nova GO,1:1,Oeste FC SP,Brasilien Brasilero Serie B
080,21.11.,01:30,BRA 2,Sport Recife PE,2:1,AA Ponte Preta SP,Brasilien Brasilero Serie B
081,21.11.,01:30,NHL,Montreal Canad.,1:1,Ottawa Senators,USA NHL
082,21.11.,02:00,NHL,New York Rangers,4:1,Washington Cap.,USA NHL
