Num,Date,Time,League,Team 1,Score,Team 2,League Name
001,10.03.,17:00,ALGARVE,Neuseeland Damen*,1:2,Norwegen Damen,Algarve Cup
002,10.03.,17:00,TUR 2,Balikesirspor,1:3,Bursaspor,Türkei TFF 1. Lig
003,10.03.,17:30,KHL,Dynamo Moskau,4:1,Spartak Moskau,Kontinental Hockey League
004,10.03.,17:30,EH FIN,JYP Jyväskylä,3:3,Tappara Tampere,Finnland SM-Liiga
005,10.03.,17:30,EH FIN,Kärpät Oulu,1:5,Lukko Rauma,Finnland SM-Liiga
006,10.03.,17:30,EH FIN,SaiPa Lappeenr.,1:1,Jukurit Mikkeli,Finnland SM-Liiga
007,10.03.,17:30,EH FIN,HPK Hämeenlinna,2:1,KalPa Kuopio,Finnland SM-Liiga
008,10.03.,17:30,EH FIN,Ilves Tampere,3:1,Ässät Pori,Finnland SM-Liiga
009,10.03.,17:30,EH FIN,Kookoo,5:2,HIFK Helsinki,Finnland SM-Liiga
010,10.03.,17:30,EH FIN,HC TPS Turku,4:2,Vaasan Sport,Finnland SM-Liiga
011,10.03.,18:00,POL CUP,GKS Tychy 71,1:1,Cracovia Krakau,Polen Cup
012,10.03.,18:00,SER CUP,Partizan Belgrad,4:0,Spartak Subotica,Serbien Cup
013,10.03.,17:00,EH CZE,HC Olmütz,1:3,PSG Berani Zlin,Tschechische Republik Extraliga
014,10.03.,19:00,EH CZE,Mountfield HK,3:5,HC Karlsbad,Tschechische Republik Extraliga
015,10.03.,18:00,INT FSD,Österreich Damen*,1:2,Schweiz Damen,"Internationale Freundschaftsspiele, Damen"
016,10.03.,19:00,AUT 2,Kapfenberger SV,2:2,FC Juniors OÖ,Österreich Zweite Liga
017,10.03.,19:00,EH SWE,Skelleftea AIK,2:2,Växjö Lakers,Schweden Elitserien
018,10.03.,19:00,EH SWE,HC Örebro,4:0,Leksands IF,Schweden Elitserien
019,10.03.,19:00,EH SWE,HV 71,2:1,Lulea Hockey,Schweden Elitserien
020,10.03.,19:00,EH SWE,Malmö IF,0:3,Frölunda HC,Schweden Elitserien
021,10.03.,19:00,EH SWE,Färjestads BK,2:4,Linköpings HC,Schweden Elitserien
022,10.03.,19:00,EH SWE,IK Oskarshamn,5:4,Brynas IF,Schweden Elitserien
023,10.03.,19:00,EH SWE,Djurgardens IF,3:2,Rögle BK,Schweden Elitserien
024,10.03.,19:15,EH AUT,EC Graz 99ers,abgesagt,Vienna Capitals,Österreich Eishockey Liga
025,10.03.,19:15,EH AUT,Villacher SV,abgesagt,EC RB Salzburg,Österreich Eishockey Liga
026,10.03.,19:15,EH AUT,Black Wings Linz,abgesagt,KAC Klagenfurt,Österreich Eishockey Liga
027,10.03.,20:00,ESP 1,SD Eibar,1:2,Real Sociedad,Spanien Primera Division
028,10.03.,20:45,ENG 1,FC Portsmouth,2:2,Fleetwood Town,England League One
029,10.03.,20:45,ENG 1,Bristol Rovers,2:0,AFC Sunderland,England League One
030,10.03.,20:45,ENG 1,Burton Albion,2:2,Bolton Wanderers,England League One
031,10.03.,20:45,ENG 1,FC Blackpool,1:2,Tranmere Rovers,England League One
032,10.03.,20:45,SCO CS,FC Dundee,2:0,Ayr United,Schottland Championship
033,10.03.,20:45,SCO CS,Inverness CT,3:1,Queen of South,Schottland Championship
034,10.03.,20:45,SCO CS,Partick Thistle,1:1,Dunfermline,Schottland Championship
035,10.03.,20:45,SCO 1,FC Stranraer,0:1,FC Montrose,Schottland League One
036,10.03.,21:00,CL,FC Valencia ESP,3:4,Atalanta BC ITA,UEFA Champions League
037,10.03.,21:00,CL,FC Valencia,3:5,Atalanta Bergamo+1,UEFA Champions League
038,10.03.,21:00,CL,FC Valencia+1,4:4,Atalanta Bergamo,UEFA Champions League
039,10.03.,21:00,CL,RB Leipzig GER,3:0,Tottenham ENG,UEFA Champions League
040,10.03.,21:00,CL,RB Leipzig,3:1,Tottenham+1,UEFA Champions League
041,10.03.,22:00,CHI 1,Sant. Wanderers,1:2,Palestino,Chile Primera Divison
042,10.03.,23:15,COPA L,Bolivar La Paz BOL,2:0,CA Tigre ARG,Copa Libertadores
043,10.03.,23:15,COPA L,Univ. Catolica CHI,1:2,Am. de Cali COL,Copa Libertadores
044,10.03.,23:15,COPA L,Santos SP BRA,1:0,Delfin SC ECU,Copa Libertadores
045,11.03.,00:00,COL 1,Jaguares Cordoba,0:3,Cucuta Deportivo,Kolumbien Primera Liga
046,11.03.,00:30,CHI 1,Huachipato,2:1,Audax Italiano,Chile Primera Divison
047,11.03.,01:00,CCC CL,Montreal Impac USA,1:2,CD Olimpia HON,CONCACAF Champions League
048,11.03.,01:30,COPA L,Club Libertad PAR,3:2,Caracas FC VEN,Copa Libertadores
049,11.03.,01:30,COPA L,Boca Juniors ARG,3:0,Ind. Medellin COL,Copa Libertadores
