Date,League,Team 1,Score,Team 2,League Name
28.07. 13:00,WM FR,China Frauen,1:0,Haiti Frauen,"FIFA Weltmeisterschaft, Frauen"
28.07. 17:45,AUT 2,Admira Wacker,1:0,SV Stripfing,Österreich Zweite Liga
28.07. 17:45,AUT 2,DSV Leoben,3:2,SV Horn,Österreich Zweite Liga
28.07. 17:45,AUT 2,Grazer AK,3:0,SKU Amstetten,Österreich Zweite Liga
28.07. 17:45,AUT 2,SV Lafnitz,3:0,Kapfenberger SV,Österreich Zweite Liga
28.07. 17:45,AUT 2,SW Bregenz,2:0,First Vienna FC,Österreich Zweite Liga
28.07. 17:45,AUT 2,FC Liefering,0:1,FC Dornbirn,Österreich Zweite Liga
28.07. 18:00,AUT RLO,SR Donaufeld,1:4,SV Leobendorf,Österreich Regionalliga Ost
28.07. 19:00,AUT RLO,SC Neusiedl,1:1,TWL Elektra,Österreich Regionalliga Ost
28.07. 19:00,AUT RLM,Bad Gleichenberg,2:1,SV Wallern,Österreich Regionalliga Mitte
28.07. 19:00,AUT RLM,SV Allerheiligen,1:2,Deutschlandsberg,Österreich Regionalliga Mitte
28.07. 19:00,AUT RLM,SK Vorwärts Steyr,1:0,LASK Amateure OÖ,Österreich Regionalliga Mitte
28.07. 19:00,DEN 1,Viborg FF,2:2,Lyngby BK,Dänemark Superligaen
28.07. 19:30,AUT RLO,Kremser SC,4:3,SK Rapid Wien II,Österreich Regionalliga Ost
28.07. 19:30,AUT RLO,SV Oberwart,0:2,Wiener Sport-Club,Österreich Regionalliga Ost
28.07. 19:30,AUT RLO,Favoritner AC,1:1,FC Mauerwerk,Österreich Regionalliga Ost
28.07. 19:30,AUT RLO,ASV Draßburg,2:0,FC Marchfeld,Österreich Regionalliga Ost
28.07. 20:00,AUT RLO,Young Violets A.W.,3:1,Wiener Viktoria,Österreich Regionalliga Ost
28.07. 20:00,CRO 1,NK Varazdin SN,2:2,NK Slaven Belupo,Kroatien 1. HNL
28.07. 20:00,HUN 1,MTK Budapest FC,1:1,Paksi FC,Ungarn NB I
28.07. 20:15,SUI 2,FC Sion,1:0,FC Aarau,Schweiz Challenge League
28.07. 20:30,AUT BL,LASK,1:1,SK Rapid Wien,Österreich Bundesliga
28.07. 20:30,AUT BL,LASK,1:2,SK Rapid Wien+1,Österreich Bundesliga
28.07. 20:30,GER 2,Hamburger SV,5:3,FC Schalke 04,Deutschland 2. Bundesliga
28.07. 20:30,GER 2,Hamburger SV,5:4,FC Schalke 04+1,Deutschland 2. Bundesliga
28.07. 20:30,ROU 1,Rapid Bukarest,2:2,FC Botosani,Rumänien Liga 1
28.07. 20:30,POL 1,Ruch Chorzow,2:0,LKS Lodz,Polen Orange Ekstraklasa
