Date,League,Team 1,Score,Team 2,League Name
01.08. 13:00,WM FR,Haiti Frauen,0:2,Dänemark Frauen,"FIFA Weltmeisterschaft, Frauen"
01.08. 13:00,WM FR,China Frauen,1:6,England Frauen,"FIFA Weltmeisterschaft, Frauen"
01.08. 17:00,CON LG,Valmiera FK LAT,7:0,SP Tre Penne SMR,UEFA Europa Conference League
01.08. 17:20,TEN ATP,Seyboth Wild,2:0,"Novak, Dennis",Tennis ATP
01.08. 19:30,TEN ATP,"Bagnis, Facundo",0:2,"Thiem, Dominic",Tennis ATP
01.08. 19:30,CON LG,Balzan FC MLT,0:0,Neman Grodno BLR,UEFA Europa Conference League
01.08. 19:30,CON LG,Zimbru Chisin. MDA,0:4,Fenerbahce TUR,UEFA Europa Conference League
01.08. 19:30,CON LG,Zimbru Chisinau+1,1:4,Fenerbahce,UEFA Europa Conference League
01.08. 19:30,CL,Panathinaikos GRE,2:2,SC Dnipro UKR,UEFA Champions League
01.08. 19:30,CL,Panathinaikos,2:3,SC Dnipro+1,UEFA Champions League
01.08. 20:00,CL,BATE Borisov BLR*,3:5,Aris Limassol CYP,UEFA Champions League
01.08. 20:00,CL,BATE Borisov+1,4:5,Aris Limassol,UEFA Champions League
01.08. 20:00,CL,Ol. Ljubljana SLO,2:1,Ludogorets BUL,UEFA Champions League
01.08. 20:00,CL,Olimpija Ljubljana,2:2,Ludogorets+1,UEFA Champions League
01.08. 20:00,CL,Ol. Ljubljana+1,3:1,Ludogorets,UEFA Champions League
01.08. 20:00,CON LG,Swift Hesperan LUX,3:2,The New Saints WAL,UEFA Europa Conference League
01.08. 20:05,TEN ATP,"Lajovic, Dusan",0:2,"Zhang, Zhizhen",Tennis ATP
01.08. 20:30,CL,Slov. Bratisl. SVK,2:2,Zrinjs. Mostar BIH,UEFA Champions League
01.08. 20:30,CL,Slovan Bratislava,2:3,Zrinjski Mostar+1,UEFA Champions League
01.08. 20:45,CON LG,Partiz.Tirana ALB,4:1,AC Escaldes AND,UEFA Europa Conference League
01.08. 21:00,CON LG,B.Podgorica MNE,3:4,Struga Trim MKD,UEFA Europa Conference League
01.08. 22:00,PER 1,Dep. Municipal,1:2,Aso. Dep. Tarma,Peru Primera Division
02.08. 00:00,COPA L,Arg. Juniors ARG,1:1,Fluminense RJ BRA,Copa Libertadores
02.08. 00:00,COPA S,Club Libertad PAR,0:1,Fortaleza EC C BRA,Copa Sudamericana
02.08. 00:00,BRA 2,Sampaio Correa FC,0:0,Botafogo FC SP,Brasilien Brasilero Serie B
02.08. 00:00,BRA 2,Mirassol FC SP,2:2,Avai FC SC,Brasilien Brasilero Serie B
02.08. 02:00,COPA L,Bolivar La Paz BOL,3:1,CA Paranaense BRA,Copa Libertadores
02.08. 02:00,COPA L,CA River Plate ARG,2:1,Internacional BRA,Copa Libertadores
02.08. 02:00,COPA S,CS Emelec ECU,1:2,Defensa y Jus. ARG,Copa Sudamericana
02.08. 02:30,COPA S,Corinthians SP BRA,2:1,Newell's ARG,Copa Sudamericana
02.08. 02:30,BRA 2,CR Brasil AL,2:1,Atl. Goianense GO,Brasilien Brasilero Serie B
02.08. 05:00,FS,AC Milan ITA*,0:1,FC Barcelona ESP,Freundschaftsspiele International (Klub)
02.08. 09:00,WM FR,Argentinien Frauen,0:2,Schweden Frauen,"FIFA Weltmeisterschaft, Frauen"
02.08. 09:00,WM FR,Südafrika Frauen,3:2,Italien Frauen,"FIFA Weltmeisterschaft, Frauen"
02.08. 12:00,WM FR,Jamaika Frauen,0:0,Brasilien Frauen,"FIFA Weltmeisterschaft, Frauen"
02.08. 12:00,WM FR,Panama Frauen+2,5:6,Frankreich Frauen,"FIFA Weltmeisterschaft, Frauen"
02.08. 13:30,FS,Bayern Mün. GER*,4:3,FC Liverpool ENG,Freundschaftsspiele International (Klub)
02.08. 16:00,CL,FC Astana KAZ,0:2,Dinamo Zagreb CRO,UEFA Champions League
02.08. 16:00,CL,FC Astana+1,1:2,NK Dinamo Zagreb,UEFA Champions League
02.08. 18:00,CL,Qarabag FK AZE,1:1,Rakow Czestoch POL,UEFA Champions League
02.08. 18:00,CL,Qarabag FK,1:2,Rakow Czestochow+1,UEFA Champions League
02.08. 19:00,CL,KRC Genk BEL,2:2,Servette Genf SUI,UEFA Champions League
02.08. 19:00,CL,KRC Genk,2:3,Servette Genf+1,UEFA Champions League
02.08. 19:00,CL,BK Häcken SWE,2:2,KI Klaksvik FRO,UEFA Champions League
02.08. 19:00,CL,BK Häcken,2:3,KI Klaksvik+1,UEFA Champions League
02.08. 19:00,CL,Molde FK NOR,2:0,HJK Helsinki FIN,UEFA Champions League
02.08. 19:00,CL,Molde FK,2:1,HJK Helsinki+1,UEFA Champions League
02.08. 19:00,CL,Maccabi Haifa ISR,2:1,FC Sheriff T. MDA,UEFA Champions League
02.08. 19:00,CL,Maccabi Haifa,2:2,Sheriff Tiraspol+1,UEFA Champions League
02.08. 19:00,FS,FC Arsenal ENG,1:1,AS Monaco FRA,Freundschaftsspiele International (Klub)
02.08. 19:00,CON LG,AEK Larnaca CYP,1:1,Torp. Zhodino BLR,UEFA Europa Conference League
02.08. 19:15,BB EMQ,Österreich,71:85,Bulgarien,EM Qualifikation
02.08. 19:30,CON LG,F91 Dudelange LUX,2:1,Gzira United MLT,UEFA Europa Conference League
02.08. 20:00,CL,FC Kopenhagen DEN,6:3,Breidablik ISL,UEFA Champions League
02.08. 20:00,CL,FC Kopenhagen,6:4,Breidablik+1,UEFA Champions League
02.08. 20:30,CL,Galatasaray TUR,1:0,Zalg. Vilnius LTU,UEFA Champions League
02.08. 20:30,CL,Galatasaray,1:2,Zalgiris Vilnius+2,UEFA Champions League
03.08. 00:00,COPA S,Estudiantes LP ARG,3:0,Goias EC GO BRA,Copa Sudamericana
03.08. 00:00,COPA S,Botafogo FR RJ BRA,2:1,Guar. Asuncion PAR,Copa Sudamericana
03.08. 00:00,BRA 2,Ituano FC SP,1:0,Tombense FC MG,Brasilien Brasilero Serie B
