Date,League,Team 1,Score,Team 2,League Name
23.01. 15:00,TUR 1,Hatayspor,1:1,Alanyaspor,Türkei Süper Lig
23.01. 15:30,HB EM,Niederlande,33:33,Portugal,Handball Europameisterschaft
23.01. 16:00,ASICUP,Hong Kong,0:3,Palästina,Asien Cup
23.01. 16:00,ASICUP,Iran,2:1,Ver. Arab. Emirate,Asien Cup
23.01. 17:00,CRO 1,NK Dinamo Zagreb,0:3,Lokomotiva Zagreb,Kroatien 1. HNL
23.01. 17:45,HE-RTL,"Kranjec, Zan",Kranjec,Kristoffersen H.,"Ski Alpin, Herren Riesentorlauf"
23.01. 17:45,HE-RTL,"Meillard, Loic",Meillar,"McGrath, Atle Lie","Ski Alpin, Herren Riesentorlauf"
23.01. 17:45,HE-RTL,"Feller, Manuel",Feller,"Schmid, Alexander","Ski Alpin, Herren Riesentorlauf"
23.01. 17:45,HE-RTL,Brennsteiner S.,Brennst,"Radamus, River","Ski Alpin, Herren Riesentorlauf"
23.01. 18:00,HB EM,Slowenien,28:25,Dänemark,Handball Europameisterschaft
23.01. 18:00,AFR CUP,Gambia,2:3,Kamerun,Afrika Cup
23.01. 18:00,AFR CUP,Guinea,0:2,Senegal,Afrika Cup
23.01. 18:00,TUR 1,Besiktas Istanbul,0:0,Adana Demirspor,Türkei Süper Lig
23.01. 18:00,TUR 1,Pendikspor,3:2,Kasimpasa,Türkei Süper Lig
23.01. 19:00,SUI SL,Yverdon-Sport,2:1,FC Luzern,Schweiz Super League
23.01. 19:00,SUI SL,FC Winterthur,3:3,Servette Genf,Schweiz Super League
23.01. 19:00,GER 3,MSV Duisburg,2:3,Hallescher FC,Deutschland 3. Liga
23.01. 19:00,GER 3,VfB Lübeck,1:1,TSV 1860 München,Deutschland 3. Liga
23.01. 19:00,GER 3,W. Mannheim,0:2,Dynamo Dresden,Deutschland 3. Liga
23.01. 19:00,GER 3,SC Verl,0:0,FC Saarbrücken,Deutschland 3. Liga
23.01. 19:00,GER 3,Rot-Weiss Essen,3:1,FC Viktoria Köln,Deutschland 3. Liga
23.01. 19:15,EH AUT,Black Wings Linz,1:1,EC RB Salzburg,win2day ICE Hockey League
23.01. 19:15,EH AUT,Fehervar AV19,3:2,EC VSV,win2day ICE Hockey League
23.01. 19:15,EH AUT,EC KAC,12:0,HC Asiago,win2day ICE Hockey League
23.01. 19:15,EH AUT,HC Innsbruck,0:2,HC Bozen Foxes,win2day ICE Hockey League
23.01. 19:15,EH AUT,Vienna Capitals,4:3,EC Graz 99ers,win2day ICE Hockey League
23.01. 19:15,EH AUT,HK Olimpija,3:3,HC Pustertal,win2day ICE Hockey League
23.01. 20:30,HB EM,Norwegen,33:23,Schweden,Handball Europameisterschaft
23.01. 20:30,ENG LTR,Peterborough Utd.,2:1,Crawley Town,England Football League Trophy
23.01. 20:45,SCO PS,Heart of Midl.,3:2,FC Dundee,Schottland Premiership
23.01. 20:45,ENG 1,Bolton Wanderers,1:0,Cheltenham Town,England League One
23.01. 20:45,ENG 1,Charlton Athletic,2:3,Northampton,England League One
23.01. 20:45,ENG 1,Bristol Rovers,0:1,Exeter City,England League One
23.01. 20:45,ENG 1,Wigan Athletic,1:0,Wycombe Wanderers,England League One
23.01. 20:45,ENG 1,Oxford United,0:1,FC Barnsley,England League One
23.01. 20:45,FRA 2,Bordeaux,3:1,FC Valenciennes,Frankreich Ligue 2
23.01. 20:45,FRA 2,Grenoble Foot,1:1,AJ Auxerre,Frankreich Ligue 2
23.01. 20:45,FRA 2,EA Guingamp,3:3,Rodez Aveyron,Frankreich Ligue 2
23.01. 20:45,FRA 2,SC Bastia,1:2,SM Caen,Frankreich Ligue 2
23.01. 20:45,FRA 2,SCO Angers,3:2,US Quevilly Rouen,Frankreich Ligue 2
23.01. 20:45,FRA 2,Amiens SC,1:0,Annecy FC,Frankreich Ligue 2
23.01. 20:45,POR LC,Sporting Braga,1:0,Sporting Lissabon,Portugal Liga Cup
23.01. 21:00,AFR CUP,Angola,2:0,Burkina Faso,Afrika Cup
23.01. 21:00,AFR CUP,Mauretanien,1:0,Algerien,Afrika Cup
23.01. 21:00,ENG LC,FC Chelsea,6:1,Middlesbrough,England - EFL Cup
23.01. 21:00,ENG LC,FC Chelsea,6:2,Middlesbrough+1,England - EFL Cup
23.01. 21:00,ENG 1,FC Reading,1:0,Derby County,England League One
23.01. 21:30,ESP CUP,Celta de Vigo,1:2,Real Sociedad,Spanien Copa del Rey
24.01. 12:30,ASICUP,Irak,3:2,Vietnam,Asien Cup
24.01. 15:00,TUR 1,Gaziantep FK,1:1,Konyaspor,Türkei Süper Lig
24.01. 15:00,TUR 1,MKE Ankaragücü,2:0,Karagümrük,Türkei Süper Lig
24.01. 15:30,HB EM,Österreich,24:26,Island,Handball Europameisterschaft
24.01. 17:00,CRO 1,HNK Gorica,2:3,HNK Rijeka,Kroatien 1. HNL
24.01. 17:45,HE-SL,"Feller, Manuel",Strasse,"Strasser, Linus","Ski Alpin, Herren Slalom"
24.01. 17:45,HE-SL,"McGrath, Atle Lie",Yule D.,"Yule, Daniel","Ski Alpin, Herren Slalom"
24.01. 17:45,HE-SL,"Noel, Clement",Noel C.,Kristoffersen H.,"Ski Alpin, Herren Slalom"
24.01. 17:45,HE-SL,"Meillard, Loic",Ryding,"Ryding, Dave","Ski Alpin, Herren Slalom"
24.01. 17:45,HE-SL,"Raschner, Dominik","Rochat,","Rochat, Marc","Ski Alpin, Herren Slalom"
24.01. 17:45,HE-SL,"Gstrein, Fabio","Sala, T","Sala, Tommaso","Ski Alpin, Herren Slalom"
24.01. 18:00,HB EM,Frankreich,35:32,Ungarn,Handball Europameisterschaft
24.01. 18:00,AFR CUP,Namibia,0:0,Mali,Afrika Cup
24.01. 18:00,AFR CUP,Südafrika,0:0,Tunesien,Afrika Cup
24.01. 18:00,TUR 1,Antalyaspor,2:1,Sivasspor,Türkei Süper Lig
24.01. 18:00,TUR 1,Basaksehir,0:1,Fenerbahce,Türkei Süper Lig
24.01. 18:00,CYP CUP,Apollon Limassol,abgesagt,AEL Limassol,Zypern Cup
24.01. 18:30,ITACUPR,Lucchese Libertas,1:0,Padua Calcio,Italien Coppa Italia Serie C
24.01. 18:45,CL FR,AS Roma Frauen ITA,2:2,Bayern M. Frau GER,UEFA Champions League Frauen
24.01. 18:45,CL FR,Häcken Frauen SWE,0:0,FC Paris (F) FRA,UEFA Champions League Frauen
24.01. 19:00,GER 3,Unterhaching,1:0,SC Freiburg II,Deutschland 3. Liga
24.01. 19:00,GER 3,SV Sandhausen,1:0,Erzgebirge Aue,Deutschland 3. Liga
24.01. 19:00,GER 3,Bor. Dortmund II,1:0,Jahn Regensburg,Deutschland 3. Liga
24.01. 19:00,GER 3,Arminia Bielefeld,0:2,SSV Ulm 1846,Deutschland 3. Liga
24.01. 19:00,GER 3,FC Ingolstadt,1:1,Preussen Münster,Deutschland 3. Liga
24.01. 19:30,ESP CUP,RCD Mallorca,3:2,FC Girona,Spanien Copa del Rey
24.01. 20:00,NL CUP,Feyenoord,1:0,PSV Eindhoven,Niederlande KNVB Cup
24.01. 20:30,GER BL,Bayern München,1:0,Union Berlin,Deutschland Bundesliga
24.01. 20:30,GER BL,Bayern München,1:1,Union Berlin+1,Deutschland Bundesliga
24.01. 20:30,GER BL,Bayern München,1:2,Union Berlin+2,Deutschland Bundesliga
24.01. 20:30,ITACUPR,Rimini Calcio,1:0,Catania Calcio,Italien Coppa Italia Serie C
24.01. 20:30,BEL CUP,OH Leuven,2:3,Royal Antwerpen,Belgium Beker van Belgie
24.01. 20:30,HB EM,Deutschland,24:30,Kroatien,Handball Europameisterschaft
24.01. 20:45,SCO PS,Hibernian FC,0:3,Glasgow Rangers,Schottland Premiership
24.01. 20:45,SCO PS,FC St. Johnstone,1:1,FC Aberdeen,Schottland Premiership
