Date,League,Team 1,Score,Team 2,League Name
26.01. 17:45,HB EM,Frankreich,27:27,Schweden,Handball Europameisterschaft
26.01. 18:30,GER 2,Hannover 96,3:0,1. FC Nürnberg,Deutschland 2. Bundesliga
26.01. 18:30,GER 2,FC Kaiserslautern,4:1,FC Schalke 04,Deutschland 2. Bundesliga
26.01. 19:00,GER 3,Hallescher FC,1:4,W. Mannheim,Deutschland 3. Liga
26.01. 19:00,ROU 1,FC Farul Constanta,1:0,Uni Craiova 1948,Rumänien Liga 1
26.01. 19:15,EH AUT,EC VSV,7:2,EC Graz 99ers,win2day ICE Hockey League
26.01. 19:15,EH AUT,EC KAC,2:2,HC Innsbruck,win2day ICE Hockey League
26.01. 19:30,SUI 2,FC Aarau,1:0,FC Vaduz,Schweiz Challenge League
26.01. 19:30,SUI 2,FC Wil 1900,1:4,FC Sion,Schweiz Challenge League
26.01. 19:30,SUI 2,FC Stade Nyonnais,abgesagt,FC Schaffhausen,Schweiz Challenge League
26.01. 19:45,EH AUT,HC Asiago,1:1,Vienna Capitals,win2day ICE Hockey League
26.01. 20:00,NL 1,FC Zwolle,1:0,Vitesse Arnheim,Niederlande Eredivisie
26.01. 20:00,NL 2,FC Groningen,4:1,Jong AZ Alkmaar,Niederlande Jupiler League
26.01. 20:00,NL 2,FC Eindhoven,0:3,MVV Maastricht,Niederlande Jupiler League
26.01. 20:00,NL 2,De Graafschap,3:0,VVV Venlo,Niederlande Jupiler League
26.01. 20:00,NL 2,ADO Den Haag,3:0,FC Emmen,Niederlande Jupiler League
26.01. 20:15,SUI 2,Xamax Neuchatel,1:1,FC Baden,Schweiz Challenge League
26.01. 20:30,HB EM,Deutschland,26:29,Dänemark,Handball Europameisterschaft
26.01. 20:30,GER BL,Eintr. Frankfurt,1:0,FSV Mainz 05,Deutschland Bundesliga
26.01. 20:30,GER BL,Eintr. Frankfurt,1:1,FSV Mainz 05+1,Deutschland Bundesliga
26.01. 20:30,ESP 2,SD Eibar,1:0,CD Mirandes,Spanien Segunda Division
26.01. 20:30,ITA B,US Catanzaro,1:1,Palermo FC,Italien Serie B
26.01. 20:45,ITA A,Cagliari Calcio,1:2,FC Torino,Italien Serie A
26.01. 20:45,BEL 1,Cercle Brügge,1:1,Standard Lüttich,Belgien Jupiler Pro League
26.01. 20:45,ENG FA,FC Chelsea,0:0,Aston Villa,England - FA Cup
26.01. 20:45,ENG FA,Sheffield Wednes.,1:1,Coventry City,England - FA Cup
26.01. 20:45,ENG FA,Bristol City,0:0,Nottingham Forest,England - FA Cup
26.01. 21:00,ENG FA,Tottenham,0:1,Manchester City,England - FA Cup
26.01. 21:00,ESP 1,UD Almeria,0:3,CD Alaves,Spanien La Liga
26.01. 21:00,FRA 1,Olympique Lyon,2:3,Stade Rennes,Frankreich Ligue 1
27.01. 13:00,GER 2,Wehen Wiesbaden,3:1,Hertha BSC,Deutschland 2. Bundesliga
27.01. 13:00,GER 2,VfL Osnabrück,0:0,SC Paderborn,Deutschland 2. Bundesliga
27.01. 13:00,GER 2,Hansa Rostock,2:1,SV Elversberg,Deutschland 2. Bundesliga
27.01. 14:00,ESP 1,Real Sociedad,0:0,Rayo Vallecano,Spanien La Liga
27.01. 15:00,ITA A,Atalanta Bergamo,2:0,Udinese Calcio,Italien Serie A
27.01. 15:30,GER BL,VfB Stuttgart,5:2,RB Leipzig,Deutschland Bundesliga
27.01. 15:30,GER BL,FC Augsburg,2:3,Bayern München,Deutschland Bundesliga
27.01. 15:30,GER BL,SV Werder Bremen,3:1,SC Freiburg,Deutschland Bundesliga
27.01. 15:30,GER BL,TSG Hoffenheim,1:1,FC Heidenheim,Deutschland Bundesliga
27.01. 15:30,GER BL,VfL Wolfsburg,1:1,1. FC Köln,Deutschland Bundesliga
27.01. 16:00,ENG FA,Sheffield United,2:5,Brighton & Hove,England - FA Cup
27.01. 16:00,ENG FA,Leeds United,1:1,Plymouth Argyle,England - FA Cup
27.01. 16:00,ENG FA,Leicester City,3:0,Birmingham City,England - FA Cup
27.01. 16:00,ENG FA,FC Everton,1:2,Luton Town,England - FA Cup
27.01. 16:00,ENG CS,AFC Sunderland,3:1,Stoke City,England Championship
27.01. 16:00,ENG CS,FC Millwall,1:1,Preston North End,England Championship
27.01. 16:15,ESP 1,UD Las Palmas,1:2,Real Madrid,Spanien La Liga
27.01. 17:00,FRA 1,OGC Nizza,1:0,FC Metz,Frankreich Ligue 1
27.01. 18:00,AFR CUP,Angola,3:0,Namibia,Afrika Cup
27.01. 18:00,ITA A,Juventus Turin,1:1,FC Empoli,Italien Serie A
27.01. 18:30,GER BL,Bayer Leverkusen,0:0,Mönchengladbach,Deutschland Bundesliga
