Date,League,Team 1,Score,Team 2,League Name
05.03. 18:30,ITA C1A,Pro Patria,2:1,Pro Vercelli,"Italien Lega Pro Prima Divisione, Girone A"
05.03. 18:30,ITA C1A,Arzignano Valchia.,0:0,UC Albinoleffe,"Italien Lega Pro Prima Divisione, Girone A"
05.03. 18:30,ITA C1B,ASD Pineto Calcio,1:1,Vis Pesaro 1898,"Italien Lega Pro Prima Divisione, Girone B"
05.03. 18:30,ITA C1B,Virtus Entella,5:0,Perugia Calcio,"Italien Lega Pro Prima Divisione, Girone B"
05.03. 19:00,AFC CL,Al Hilal Riyad KSA,2:0,Al Ittihad KSA,AFC Champions League
05.03. 19:00,POR 2,Maritimo Funchal,1:1,CF OS Belenenses,Portugal Segunda Liga
05.03. 19:00,EH SWE,Skelleftea AIK,2:3,Färjestads BK,Schweden Elitserien
05.03. 19:00,EH SWE,Malmö Redhawks,3:1,Växjö Lakers,Schweden Elitserien
05.03. 19:00,EH SWE,Rögle BK,1:2,Leksands IF,Schweden Elitserien
05.03. 19:00,EH SWE,HV 71,3:2,Örebro Hockey,Schweden Elitserien
05.03. 19:00,EH SWE,Frölunda HC,2:2,Linköpings HC,Schweden Elitserien
05.03. 19:00,EH SWE,MoDo Hockey,2:2,Lulea Hockey,Schweden Elitserien
05.03. 19:00,EH SWE,Timra IK,3:3,IK Oskarshamn,Schweden Elitserien
05.03. 19:15,EH AUT,Black Wings Linz,3:2,EC RB Salzburg,win2day ICE Hockey League
05.03. 19:15,EH AUT,EC VSV,2:4,HC Bozen Foxes,win2day ICE Hockey League
05.03. 19:30,EH AUT,Pion. Vorarlberg,0:1,EC KAC,win2day ICE Hockey League
05.03. 20:45,SCO CS,Greenock Morton,0:1,Dundee United,Schottland Championship
05.03. 20:45,SCO CS,Dunfermline,0:2,Airdrie Utd.,Schottland Championship
05.03. 20:45,SCO 1,Cove Rangers,0:1,FC Falkirk,Schottland League One
05.03. 20:45,NIRL 1,FC Glenavon,0:0,Glentoran Belfast,Nordirland JJB Sports Premiership
05.03. 20:45,ENG 1,Cheltenham Town,1:3,Charlton Athletic,England League One
05.03. 20:45,ENG 1,Peterborough Utd.,5:1,Northampton,England League One
05.03. 20:45,ENG 1,FC Barnsley,2:2,Bolton Wanderers,England League One
05.03. 20:45,ENG CS,Sheffield Wednes.,1:0,Plymouth Argyle,England Championship
05.03. 20:45,ENG CS,AFC Sunderland,0:1,Leicester City,England Championship
05.03. 20:45,ENG CS,Leeds United,1:0,Stoke City,England Championship
05.03. 20:45,ENG CS,Hull City,1:1,Birmingham City,England Championship
05.03. 20:45,ENG CS,Coventry City,5:0,Rotherham United,England Championship
05.03. 20:45,ENG CS,Blackburn Rovers,1:1,FC Millwall,England Championship
05.03. 21:00,ENG CS,Ipswich Town,3:2,Bristol City,England Championship
05.03. 21:00,CL,Bayern München GER,3:0,Lazio Rom ITA,UEFA Champions League
05.03. 21:00,CL,Bayern München,3:1,Lazio Rom+1,UEFA Champions League
05.03. 21:00,CL,Bayern München,3:2,Lazio Rom+2,UEFA Champions League
05.03. 21:00,CL,Real Sociedad ESP,1:2,Paris SG FRA,UEFA Champions League
05.03. 21:00,CL,Real Sociedad,1:3,Paris SG+1,UEFA Champions League
